Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.00541   	-2.19969e+00		         0.00000	2.50000e+01	
0.01178   	-2.16040e+00		         0.00167	3.40000e+01	
0.01816   	-2.04539e+00		         0.00333	4.40000e+01	
0.02454   	-1.56865e+00		         0.00500	5.60000e+01	
0.03091   	-5.00498e-01		         0.00667	6.90000e+01	
0.03729   	9.19047e-01		         0.00833	8.20000e+01	
0.04367   	1.38680e+00		         0.01000	9.60000e+01	
0.05004   	2.12964e-01		         0.01167	1.08000e+02	
0.05642   	-1.16430e+00		         0.01333	1.20000e+02	
0.06280   	-1.40451e+00		         0.01500	1.30000e+02	
0.06917   	-1.07697e+00		         0.01667	1.39000e+02	
0.07555   	-9.54082e-01		         0.01833	1.45000e+02	
0.08193   	-6.14220e-01		         0.02000	1.48000e+02	
0.08830   	8.47182e-01		         0.02167	1.49000e+02	
0.09468   	2.68514e+00		         0.02333	1.46000e+02	
0.10106   	3.89599e+00		         0.02500	1.40000e+02	
0.10744   	4.48682e+00		         0.02667	1.31000e+02	
0.11381   	4.69581e+00		         0.02833	1.19000e+02	
0.12019   	4.67126e+00		         0.03000	1.05000e+02	
0.12656   	4.52841e+00		         0.03167	8.90000e+01	
0.13294   	4.39676e+00		         0.03333	7.30000e+01	
0.13932   	4.30385e+00		         0.03500	5.60000e+01	
0.14569   	4.29811e+00		         0.03667	4.00000e+01	
0.15207   	4.30024e+00		         0.03833	2.40000e+01	
0.15845   	4.32214e+00		         0.04000	1.00000e+01	
0.16483   	4.34253e+00		         0.04167	-3.00000e+00	
0.17120   	4.41837e+00		         0.04333	-1.40000e+01	
0.17758   	4.45806e+00		         0.04500	-2.30000e+01	
0.18396   	4.52096e+00		         0.04667	-2.90000e+01	
0.19033   	4.53439e+00		         0.04833	-3.40000e+01	
0.19671   	4.53793e+00		         0.05000	-3.70000e+01	
0.20309   	4.49536e+00		         0.05167	-3.90000e+01	
0.20946   	4.40433e+00		         0.05333	-4.00000e+01	
0.21584   	4.21593e+00		         0.05500	-3.90000e+01	
0.22222   	4.08235e+00		         0.05667	-3.80000e+01	
0.22859   	3.90847e+00		         0.05833	-3.70000e+01	
0.23497   	3.81674e+00		         0.06000	-3.60000e+01	
0.24135   	3.65071e+00		         0.06167	-3.50000e+01	
0.24772   	3.58178e+00		         0.06333	-3.40000e+01	
0.25410   	3.55572e+00		         0.06500	-3.30000e+01	
0.26048   	3.47161e+00		         0.06667	-3.30000e+01	
0.26685   	3.36473e+00		         0.06833	-3.30000e+01	
0.27323   	3.23448e+00		         0.07000	-3.20000e+01	
0.27960   	3.22712e+00		         0.07167	-3.20000e+01	
0.28598   	3.16690e+00		         0.07333	-3.20000e+01	
0.29236   	3.08404e+00		         0.07500	-3.20000e+01	
