Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.01777   	3.72889e-01		         0.00000	-1.70000e+01	
0.02387   	5.48169e-01		         0.00167	-1.80000e+01	
0.03024   	7.63744e-01		         0.00333	-1.90000e+01	
0.03635   	8.32420e-01		         0.00500	-1.90000e+01	
0.04245   	1.03305e+00		         0.00667	-1.90000e+01	
0.04856   	1.61802e+00		         0.00833	-1.90000e+01	
0.05493   	2.27766e+00		         0.01000	-1.70000e+01	
0.06103   	2.21259e+00		         0.01167	-1.40000e+01	
0.06714   	1.30272e+00		         0.01333	-1.10000e+01	
0.07324   	3.89069e-01		         0.01500	-7.00000e+00	
0.07962   	2.14177e-01		         0.01667	-1.00000e+00	
0.08572   	6.48124e-01		         0.01833	5.00000e+00	
0.09182   	9.71360e-01		         0.02000	1.30000e+01	
0.09793   	1.40752e+00		         0.02167	2.20000e+01	
0.10431   	2.15504e+00		         0.02333	3.10000e+01	
0.11041   	2.98309e+00		         0.02500	4.20000e+01	
0.11651   	3.67235e+00		         0.02667	5.40000e+01	
0.12262   	4.13578e+00		         0.02833	6.60000e+01	
0.12899   	4.42761e+00		         0.03000	7.80000e+01	
0.13509   	4.52960e+00		         0.03167	8.90000e+01	
0.14120   	4.58405e+00		         0.03333	9.90000e+01	
0.14731   	4.72690e+00		         0.03500	1.08000e+02	
0.15368   	4.89120e+00		         0.03667	1.14000e+02	
0.16001   	5.02159e+00		         0.03833	1.19000e+02	
0.16589   	5.06521e+00		         0.04000	1.21000e+02	
0.17200   	5.08708e+00		         0.04167	1.21000e+02	
0.17837   	5.02252e+00		         0.04333	1.18000e+02	
0.18447   	5.01736e+00		         0.04500	1.12000e+02	
0.19058   	5.07421e+00		         0.04667	1.05000e+02	
0.19668   	5.19274e+00		         0.04833	9.50000e+01	
0.20306   	5.26749e+00		         0.05000	8.40000e+01	
0.20954   	5.35313e+00		         0.05167	7.30000e+01	
0.21526   	5.48914e+00		         0.05333	6.10000e+01	
0.22137   	5.52763e+00		         0.05500	4.90000e+01	
0.22774   	5.49195e+00		         0.05667	3.70000e+01	
0.23385   	5.38138e+00		         0.05833	2.60000e+01	
0.23995   	5.38140e+00		         0.06000	1.60000e+01	
0.24605   	5.39470e+00		         0.06167	7.00000e+00	
0.25243   	5.31684e+00		         0.06333	-2.00000e+00	
0.25853   	5.22711e+00		         0.06500	-9.00000e+00	
0.26464   	5.10759e+00		         0.06667	-1.60000e+01	
0.27074   	4.98084e+00		         0.06833	-2.10000e+01	
0.27712   	4.80764e+00		         0.07000	-2.50000e+01	
0.28322   	4.66945e+00		         0.07167	-2.90000e+01	
0.28933   	4.65313e+00		         0.07333	-3.20000e+01	
0.29543   	4.75348e+00		         0.07500	-3.40000e+01	
0.30181   	4.72076e+00		         0.07667	-3.60000e+01	
0.30791   	4.62951e+00		         0.07833	-3.70000e+01	
0.31402   	4.49574e+00		         0.08000	-3.80000e+01	
0.32012   	4.34017e+00		         0.08167	-3.80000e+01	
0.32649   	4.22340e+00		         0.08333	-3.90000e+01	
0.33259   	3.98996e+00		         0.08500	-3.90000e+01	
0.33870   	3.84163e+00		         0.08667	-3.80000e+01	
0.34480   	3.65382e+00		         0.08833	-3.80000e+01	
0.35118   	3.42798e+00		         0.09000	-3.70000e+01	
0.35728   	3.30107e+00		         0.09167	-3.60000e+01	
0.36339   	3.16620e+00		         0.09333	-3.50000e+01	
0.36949   	3.11524e+00		         0.09500	-3.40000e+01	
0.37587   	2.94551e+00		         0.09667	-3.30000e+01	
0.38197   	2.70017e+00		         0.09833	-3.10000e+01	
0.38808   	2.49611e+00		         0.10000	-3.00000e+01	
0.39418   	2.27725e+00		         0.10167	-2.80000e+01	
0.40056   	1.92204e+00		         0.10333	-2.70000e+01	
0.40666   	1.49044e+00		         0.10500	-2.60000e+01	
0.41276   	1.18675e+00		         0.10667	-2.50000e+01	
0.41887   	8.72632e-01		         0.10833	-2.40000e+01	
0.42541   	5.24720e-01		         0.11000	-2.40000e+01	
0.43135   	-3.34281e-01		         0.11167	-2.40000e+01	
0.43745   	-1.26207e+00		         0.11333	-2.40000e+01	
0.44356   	-2.21536e+00		         0.11500	-2.40000e+01	
0.44993   	-2.97498e+00		         0.11667	-2.40000e+01	
0.45603   	-3.13411e+00		         0.11833	-2.50000e+01	
0.46214   	-2.55344e+00		         0.12000	-2.60000e+01	
0.46824   	-1.29462e+00		         0.12167	-2.60000e+01	
0.47462   	-3.38014e-01		         0.12333	-2.60000e+01	
0.48072   	2.13582e-01		         0.12500	-2.60000e+01	
0.48683   	5.76940e-01		         0.12667	-2.60000e+01	
0.49293   	8.81085e-01		         0.12833	-2.50000e+01	
0.49930   	1.04971e+00		         0.13000	-2.40000e+01	
0.50541   	1.21164e+00		         0.13167	-2.30000e+01	
0.51151   	1.41401e+00		         0.13333	-2.20000e+01	
0.51762   	1.45040e+00		         0.13500	-2.00000e+01	
0.52399   	8.92458e-01		         0.13667	-1.80000e+01	
0.53010   	-3.14660e-02		         0.13833	-1.70000e+01	
0.53621   	-4.35371e-01		         0.14000	-1.50000e+01	
0.54230   	-1.00636e+00		         0.14167	-1.40000e+01	
0.54868   	-1.52039e+00		         0.14333	-1.30000e+01	
0.55478   	-2.70486e+00		         0.14500	-1.20000e+01	
0.56089   	-3.58870e+00		         0.14667	-1.20000e+01	
0.56700   	-4.21078e+00		         0.14833	-1.20000e+01	
0.57337   	-4.84010e+00		         0.15000	-1.20000e+01	
0.57947   	-5.10747e+00		         0.15167	-1.20000e+01	
0.58558   	-5.38178e+00		         0.15333	-1.20000e+01	
0.59168   	-5.43151e+00		         0.15500	-1.20000e+01	
0.59806   	-5.57402e+00		         0.15667	-1.30000e+01	
0.60416   	-5.62008e+00		         0.15833	-1.30000e+01	
0.61026   	-5.52873e+00		         0.16000	-1.30000e+01	
0.61637   	-5.26761e+00		         0.16167	-1.40000e+01	
0.62274   	-4.94395e+00		         0.16333	-1.40000e+01	
0.62885   	-4.55439e+00		         0.16500	-1.40000e+01	
0.63495   	-4.21979e+00		         0.16667	-1.40000e+01	
0.64109   	-3.92514e+00		         0.16833	-1.40000e+01	
0.64743   	-3.68034e+00		         0.17000	-1.30000e+01	
0.65353   	-3.47440e+00		         0.17167	-1.30000e+01	
0.65964   	-3.12301e+00		         0.17333	-1.20000e+01	
0.66574   	-2.69040e+00		         0.17500	-1.10000e+01	
0.67212   	-2.13365e+00		         0.17667	-1.00000e+01	
0.67822   	-1.52884e+00		         0.17833	-9.00000e+00	
0.68433   	-1.03024e+00		         0.18000	-8.00000e+00	
0.69043   	-6.48170e-01		         0.18167	-7.00000e+00	
0.69681   	-3.95384e-01		         0.18333	-6.00000e+00	
0.70291   	-1.80032e-01		         0.18500	-5.00000e+00	
0.70901   	-4.07867e-02		         0.18667	-5.00000e+00	
0.71512   	-7.84690e-02		         0.18833	-4.00000e+00	
0.72149   	-1.63893e-01		         0.19000	-4.00000e+00	
0.72760   	-2.71990e-01		         0.19167	-3.00000e+00	
0.73370   	-3.27309e-01		         0.19333	-3.00000e+00	
0.73980   	-4.23813e-01		         0.19500	-3.00000e+00	
0.74618   	-5.41729e-01		         0.19667	-3.00000e+00	
0.75228   	-6.65919e-01		         0.19833	-3.00000e+00	
0.75839   	-7.96884e-01		         0.20000	-3.00000e+00	
0.76449   	-8.75404e-01		         0.20167	-3.00000e+00	
0.77087   	-9.61807e-01		         0.20333	-4.00000e+00	
0.77697   	-1.01024e+00		         0.20500	-4.00000e+00	
0.78308   	-1.04055e+00		         0.20667	-4.00000e+00	
0.78918   	-1.01742e+00		         0.20833	-5.00000e+00	
0.79556   	-1.00346e+00		         0.21000	-6.00000e+00	
0.80166   	-9.62882e-01		         0.21167	-7.00000e+00	
0.80776   	-9.29931e-01		         0.21333	-8.00000e+00	
0.81387   	-8.77517e-01		         0.21500	-8.00000e+00	
0.82024   	-8.58021e-01		         0.21667	-8.00000e+00	
0.82635   	-8.57073e-01		         0.21833	-8.00000e+00	
0.83245   	-8.74394e-01		         0.22000	-8.00000e+00	
0.83856   	-9.25203e-01		         0.22167	-7.00000e+00	
0.84494   	-9.22172e-01		         0.22333	-7.00000e+00	
0.85103   	-9.02046e-01		         0.22500	-5.00000e+00	
0.85714   	-8.81042e-01		         0.22667	-4.00000e+00	
0.86324   	-8.38609e-01		         0.22833	-2.00000e+00	
0.86962   	-7.94131e-01		         0.23000	1.00000e+00	
0.87572   	-6.71409e-01		         0.23167	3.00000e+00	
0.88183   	-5.88373e-01		         0.23333	5.00000e+00	
0.88793   	-5.28432e-01		         0.23500	7.00000e+00	
0.89431   	-5.39846e-01		         0.23667	9.00000e+00	
0.90041   	-5.12388e-01		         0.23833	9.00000e+00	
0.90684   	-4.51285e-01		         0.24000	1.00000e+01	
0.91262   	-3.68619e-01		         0.24167	1.00000e+01	
0.91899   	-3.38112e-01		         0.24333	1.00000e+01	
0.92509   	-3.03147e-01		         0.24500	9.00000e+00	
0.93120   	-2.62176e-01		         0.24667	8.00000e+00	
0.93731   	-1.98846e-01		         0.24833	7.00000e+00	
0.94368   	-1.40882e-01		         0.25000	6.00000e+00	
0.94978   	-1.13933e-01		         0.25167	5.00000e+00	
0.95589   	-1.05227e-01		         0.25333	4.00000e+00	
0.96199   	-1.38264e-01		         0.25500	3.00000e+00	
0.96837   	-1.53191e-01		         0.25667	2.00000e+00	
0.97447   	-1.80081e-01		         0.25833	2.00000e+00	
0.98058   	-1.84112e-01		         0.26000	2.00000e+00	
0.98668   	-2.01386e-01		         0.26167	2.00000e+00	
0.99306   	-2.03630e-01		         0.26333	3.00000e+00	
0.99916   	-2.14411e-01		         0.26500	3.00000e+00	
1.00526   	-2.14411e-01		         0.26667	4.00000e+00	
1.01137   	-1.99800e-01		         0.26833	5.00000e+00	
1.01774   	-1.81274e-01		         0.27000	6.00000e+00	
1.02385   	-1.64000e-01		         0.27167	7.00000e+00	
1.02995   	-1.55825e-01		         0.27333	7.00000e+00	
1.03606   	-1.55825e-01		         0.27500	8.00000e+00	
1.04243   	-1.48309e-01		         0.27667	8.00000e+00	
1.04856   	-1.56403e-01		         0.27833	9.00000e+00	
1.05464   	-1.44839e-01		         0.28000	9.00000e+00	
1.06074   	-1.44839e-01		         0.28167	1.00000e+01	
1.06712   	-1.40792e-01		         0.28333	1.00000e+01	
1.07322   	-1.52356e-01		         0.28500	1.10000e+01	
1.07933   	-1.59873e-01		         0.28667	1.10000e+01	
1.08543   	-1.63920e-01		         0.28833	1.20000e+01	
1.09181   	-1.63920e-01		         0.29000	1.30000e+01	
1.09791   	-1.42527e-01		         0.29167	1.40000e+01	
1.10401   	-9.62705e-02		         0.29333	1.40000e+01	
1.11012   	1.28569e-03		         0.29500	1.50000e+01	
1.11650   	1.02526e-01		         0.29667	1.60000e+01	
1.12264   	2.15791e-01		         0.29833	1.70000e+01	
1.12870   	4.32527e-01		         0.30000	1.80000e+01	
1.13481   	5.37289e-01		         0.30167	1.90000e+01	
1.14118   	4.99499e-01		         0.30333	2.00000e+01	
1.14728   	-3.16853e-01		         0.30500	2.00000e+01	
1.15339   	-1.40736e+00		         0.30667	2.00000e+01	
1.15949   	-2.81206e+00		         0.30833	2.00000e+01	
1.16587   	-4.12249e+00		         0.31000	2.10000e+01	
1.17197   	-5.31489e+00		         0.31167	2.10000e+01	
