Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.01138   	1.67546e+00		         0.00000	2.88000e+02	
0.01751   	1.64480e+00		         0.00167	3.29000e+02	
0.02365   	1.10244e+00		         0.00333	3.67000e+02	
0.03006   	3.00642e-01		         0.00500	3.99000e+02	
0.03620   	-1.70625e-01		         0.00667	4.25000e+02	
0.04233   	-1.91186e-01		         0.00833	4.42000e+02	
0.04847   	-2.46474e-01		         0.01000	4.49000e+02	
0.05488   	-7.89260e-01		         0.01167	4.46000e+02	
0.06102   	-1.08161e+00		         0.01333	4.32000e+02	
0.06716   	-7.11616e-01		         0.01500	4.08000e+02	
0.07330   	2.50468e-01		         0.01667	3.73000e+02	
0.07970   	1.39656e+00		         0.01833	3.31000e+02	
0.08584   	2.37663e+00		         0.02000	2.82000e+02	
0.09198   	3.11446e+00		         0.02167	2.29000e+02	
0.09811   	3.60691e+00		         0.02333	1.75000e+02	
0.10453   	3.85635e+00		         0.02500	1.21000e+02	
0.11066   	4.01596e+00		         0.02667	6.80000e+01	
0.11680   	4.22702e+00		         0.02833	1.90000e+01	
0.12294   	4.28350e+00		         0.03000	-2.70000e+01	
0.12935   	4.38347e+00		         0.03167	-6.70000e+01	
0.13548   	4.44979e+00		         0.03333	-1.02000e+02	
0.14162   	4.58534e+00		         0.03500	-1.30000e+02	
0.14776   	4.65059e+00		         0.03667	-1.53000e+02	
0.15417   	4.62058e+00		         0.03833	-1.69000e+02	
0.16031   	4.59108e+00		         0.04000	-1.79000e+02	
0.16644   	4.59887e+00		         0.04167	-1.85000e+02	
0.17258   	4.57278e+00		         0.04333	-1.86000e+02	
0.17899   	4.64157e+00		         0.04500	-1.83000e+02	
0.18513   	4.61002e+00		         0.04667	-1.77000e+02	
0.19126   	4.59726e+00		         0.04833	-1.69000e+02	
0.19740   	4.50760e+00		         0.05000	-1.59000e+02	
0.20381   	4.55605e+00		         0.05167	-1.48000e+02	
0.20995   	4.60947e+00		         0.05333	-1.37000e+02	
0.21609   	4.60684e+00		         0.05500	-1.25000e+02	
0.22223   	4.37692e+00		         0.05667	-1.14000e+02	
0.22863   	4.23578e+00		         0.05833	-1.04000e+02	
0.23477   	4.14629e+00		         0.06000	-9.40000e+01	
0.24091   	4.13285e+00		         0.06167	-8.50000e+01	
0.24714   	4.10116e+00		         0.06333	-7.70000e+01	
0.25346   	4.02849e+00		         0.06500	-7.00000e+01	
0.25959   	3.98537e+00		         0.06667	-6.40000e+01	
0.26573   	3.82523e+00		         0.06833	-5.90000e+01	
0.27187   	3.69974e+00		         0.07000	-5.40000e+01	
0.27828   	3.55346e+00		         0.07167	-5.00000e+01	
0.28442   	3.35411e+00		         0.07333	-4.70000e+01	
0.29055   	3.12068e+00		         0.07500	-4.40000e+01	
0.29702   	3.00233e+00		         0.07667	-4.20000e+01	
0.30310   	2.93574e+00		         0.07833	-4.00000e+01	
0.30924   	2.85501e+00		         0.08000	-3.80000e+01	
0.31537   	2.66019e+00		         0.08167	-3.70000e+01	
0.32152   	2.50234e+00		         0.08333	-3.60000e+01	
0.32792   	2.34493e+00		         0.08500	-3.50000e+01	
0.33406   	2.26439e+00		         0.08667	-3.40000e+01	
0.34020   	2.12351e+00		         0.08833	-3.40000e+01	
0.34633   	1.94983e+00		         0.09000	-3.30000e+01	
0.35274   	1.64858e+00		         0.09167	-3.20000e+01	
0.35888   	1.27444e+00		         0.09333	-3.20000e+01	
0.36502   	8.41037e-01		         0.09500	-3.10000e+01	
0.37116   	2.65031e-01		         0.09667	-3.00000e+01	
0.37756   	-4.33643e-01		         0.09833	-2.90000e+01	
0.38370   	-9.43535e-01		         0.10000	-2.90000e+01	
0.38984   	-6.43790e-01		         0.10167	-2.80000e+01	
0.39598   	-1.82111e-01		         0.10333	-2.70000e+01	
0.40239   	-1.18421e-03		         0.10500	-2.60000e+01	
