Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.00478   	-4.89443e+00		         0.00000	-6.00000e+00	
0.01061   	-4.14371e+00		         0.00167	6.00000e+00	
0.01645   	-2.60976e+00		         0.00333	2.10000e+01	
0.02228   	-6.28619e-01		         0.00500	3.80000e+01	
0.02812   	1.23392e+00		         0.00667	5.90000e+01	
0.03396   	2.20847e+00		         0.00833	8.20000e+01	
0.04012   	4.05866e+00		         0.01000	1.07000e+02	
0.04563   	3.67350e+00		         0.01167	1.33000e+02	
0.05146   	2.03803e+00		         0.01333	1.60000e+02	
0.05729   	-4.11432e-01		         0.01500	1.86000e+02	
0.06313   	-4.43193e-01		         0.01667	2.10000e+02	
0.06897   	6.49535e-01		         0.01833	2.31000e+02	
0.07480   	1.68493e+00		         0.02000	2.49000e+02	
0.08063   	2.04382e+00		         0.02167	2.62000e+02	
0.08647   	2.86208e+00		         0.02333	2.70000e+02	
0.09230   	3.44421e+00		         0.02500	2.72000e+02	
0.09814   	4.23981e+00		         0.02667	2.69000e+02	
0.10397   	4.91340e+00		         0.02833	2.61000e+02	
0.10981   	5.29796e+00		         0.03000	2.49000e+02	
0.11565   	5.44474e+00		         0.03167	2.31000e+02	
0.12148   	5.74081e+00		         0.03333	2.11000e+02	
0.12731   	5.94930e+00		         0.03500	1.88000e+02	
0.13315   	5.87171e+00		         0.03667	1.62000e+02	
0.13898   	5.73858e+00		         0.03833	1.36000e+02	
0.14482   	5.37070e+00		         0.04000	1.10000e+02	
0.15066   	5.35194e+00		         0.04167	8.40000e+01	
0.15649   	5.32125e+00		         0.04333	6.00000e+01	
0.16232   	5.63635e+00		         0.04500	3.70000e+01	
0.16816   	5.57031e+00		         0.04667	1.60000e+01	
0.17399   	5.37437e+00		         0.04833	-3.00000e+00	
0.17983   	5.10253e+00		         0.05000	-2.00000e+01	
0.18567   	4.92647e+00		         0.05167	-3.40000e+01	
0.19150   	4.99428e+00		         0.05333	-4.60000e+01	
0.19734   	5.17807e+00		         0.05500	-5.70000e+01	
0.20317   	5.45430e+00		         0.05667	-6.50000e+01	
0.20900   	5.32945e+00		         0.05833	-7.20000e+01	
0.21484   	5.15108e+00		         0.06000	-7.70000e+01	
0.22067   	4.97884e+00		         0.06167	-8.10000e+01	
0.22652   	4.94349e+00		         0.06333	-8.40000e+01	
0.23234   	4.96455e+00		         0.06500	-8.50000e+01	
0.23818   	5.04589e+00		         0.06667	-8.60000e+01	
0.24402   	5.11201e+00		         0.06833	-8.60000e+01	
0.24985   	5.05122e+00		         0.07000	-8.60000e+01	
0.25574   	4.99210e+00		         0.07167	-8.50000e+01	
0.26152   	4.91021e+00		         0.07333	-8.40000e+01	
0.26735   	4.77016e+00		         0.07500	-8.20000e+01	
0.27319   	4.47707e+00		         0.07667	-8.10000e+01	
0.27903   	4.29635e+00		         0.07833	-7.90000e+01	
0.28486   	4.09938e+00		         0.08000	-7.80000e+01	
0.29069   	3.93451e+00		         0.08167	-7.60000e+01	
0.29653   	3.78284e+00		         0.08333	-7.40000e+01	
0.30237   	3.59091e+00		         0.08500	-7.30000e+01	
0.30820   	3.51839e+00		         0.08667	-7.10000e+01	
0.31403   	3.32964e+00		         0.08833	-6.90000e+01	
0.31987   	3.13714e+00		         0.09000	-6.70000e+01	
0.32571   	2.94434e+00		         0.09167	-6.60000e+01	
0.33154   	2.78459e+00		         0.09333	-6.40000e+01	
0.33737   	2.60605e+00		         0.09500	-6.20000e+01	
0.34321   	2.33451e+00		         0.09667	-6.10000e+01	
0.34904   	2.05926e+00		         0.09833	-5.90000e+01	
0.35488   	1.74978e+00		         0.10000	-5.70000e+01	
0.36071   	1.43515e+00		         0.10167	-5.50000e+01	
0.36655   	1.05445e+00		         0.10333	-5.30000e+01	
0.37238   	6.53006e-01		         0.10500	-5.10000e+01	
0.37822   	2.38611e-01		         0.10667	-4.90000e+01	
0.38405   	-5.36900e-01		         0.10833	-4.80000e+01	
0.38989   	-1.36746e+00		         0.11000	-4.70000e+01	
0.39572   	-2.07434e+00		         0.11167	-4.50000e+01	
0.40156   	-2.47112e+00		         0.11333	-4.40000e+01	
0.40739   	-2.56774e+00		         0.11500	-4.30000e+01	
0.41323   	-2.54742e+00		         0.11667	-4.20000e+01	
0.41906   	-2.03053e+00		         0.11833	-4.10000e+01	
0.42490   	-1.84999e+00		         0.12000	-4.00000e+01	
0.43073   	-9.91338e-01		         0.12167	-3.90000e+01	
0.43657   	-6.70327e-01		         0.12333	-3.80000e+01	
0.44240   	-1.88550e+00		         0.12500	-3.70000e+01	
0.44824   	-2.50014e+00		         0.12667	-3.60000e+01	
0.45407   	-3.36833e+00		         0.12833	-3.50000e+01	
0.45991   	-2.65386e+00		         0.13000	-3.30000e+01	
0.46574   	-3.11120e+00		         0.13167	-3.20000e+01	
0.47172   	-3.44566e+00		         0.13333	-3.10000e+01	
0.47742   	-3.32399e+00		         0.13500	-2.90000e+01	
0.48325   	-3.52670e+00		         0.13667	-2.80000e+01	
0.48908   	-3.62500e+00		         0.13833	-2.70000e+01	
0.49492   	-4.76891e+00		         0.14000	-2.60000e+01	
0.50075   	-5.65524e+00		         0.14167	-2.60000e+01	
0.50659   	-6.14058e+00		         0.14333	-2.50000e+01	
0.51243   	-6.11753e+00		         0.14500	-2.50000e+01	
0.51826   	-5.90401e+00		         0.14667	-2.40000e+01	
0.52409   	-5.94457e+00		         0.14833	-2.30000e+01	
0.52993   	-5.72429e+00		         0.15000	-2.30000e+01	
0.53576   	-5.89744e+00		         0.15167	-2.20000e+01	
0.54160   	-6.02049e+00		         0.15333	-2.10000e+01	
0.54743   	-6.17323e+00		         0.15500	-2.10000e+01	
0.55327   	-6.27280e+00		         0.15667	-2.00000e+01	
0.55910   	-6.04212e+00		         0.15833	-1.90000e+01	
0.56494   	-5.65431e+00		         0.16000	-1.80000e+01	
0.57077   	-5.22367e+00		         0.16167	-1.80000e+01	
0.57661   	-4.92088e+00		         0.16333	-1.70000e+01	
0.58244   	-4.66035e+00		         0.16500	-1.60000e+01	
0.58828   	-4.35879e+00		         0.16667	-1.60000e+01	
0.59411   	-4.07418e+00		         0.16833	-1.60000e+01	
0.59995   	-3.40436e+00		         0.17000	-1.50000e+01	
0.60578   	-2.89890e+00		         0.17167	-1.50000e+01	
0.61162   	-2.60536e+00		         0.17333	-1.50000e+01	
0.61746   	-2.59410e+00		         0.17500	-1.50000e+01	
0.62329   	-2.29948e+00		         0.17667	-1.50000e+01	
0.62912   	-2.02799e+00		         0.17833	-1.40000e+01	
0.63496   	-1.77447e+00		         0.18000	-1.40000e+01	
0.64079   	-1.70396e+00		         0.18167	-1.40000e+01	
0.64663   	-1.47729e+00		         0.18333	-1.30000e+01	
0.65246   	-1.32179e+00		         0.18500	-1.30000e+01	
0.65830   	-1.15371e+00		         0.18667	-1.20000e+01	
0.66414   	-1.08535e+00		         0.18833	-1.10000e+01	
0.66996   	-1.09508e+00		         0.19000	-1.10000e+01	
0.67580   	-1.22476e+00		         0.19167	-1.00000e+01	
0.68164   	-1.23841e+00		         0.19333	-9.00000e+00	
0.68751   	-1.44932e+00		         0.19500	-9.00000e+00	
0.69331   	-1.54288e+00		         0.19667	-8.00000e+00	
0.69914   	-1.61890e+00		         0.19833	-7.00000e+00	
0.70498   	-1.27035e+00		         0.20000	-7.00000e+00	
0.71081   	-1.02894e+00		         0.20167	-6.00000e+00	
0.71665   	-7.26644e-01		         0.20333	-6.00000e+00	
0.72248   	-7.12372e-01		         0.20500	-5.00000e+00	
0.72832   	-4.40646e-01		         0.20667	-5.00000e+00	
0.73415   	-2.34953e-01		         0.20833	-4.00000e+00	
0.73998   	9.95596e-02		         0.21000	-4.00000e+00	
0.74582   	2.24141e-01		         0.21167	-3.00000e+00	
0.75166   	2.51250e-01		         0.21333	-2.00000e+00	
0.75749   	2.30459e-01		         0.21500	-1.00000e+00	
0.76333   	2.44486e-01		         0.21667	0.00000e+00	
0.76916   	2.24909e-01		         0.21833	1.00000e+00	
0.77500   	1.46767e-01		         0.22000	2.00000e+00	
0.78083   	7.15474e-02		         0.22167	3.00000e+00	
0.78666   	9.45785e-03		         0.22333	4.00000e+00	
0.79251   	-3.01352e-02		         0.22500	4.00000e+00	
0.79834   	-6.97815e-02		         0.22667	5.00000e+00	
0.80417   	-9.48533e-02		         0.22833	6.00000e+00	
0.81001   	-1.16327e-01		         0.23000	7.00000e+00	
0.81584   	-1.72970e-01		         0.23167	8.00000e+00	
0.82168   	-2.53257e-01		         0.23333	9.00000e+00	
0.82751   	-2.98466e-01		         0.23500	1.00000e+01	
0.83335   	-3.25296e-01		         0.23667	1.10000e+01	
0.83918   	-2.93369e-01		         0.23833	1.30000e+01	
0.84502   	-3.10349e-01		         0.24000	1.40000e+01	
0.85085   	-2.76521e-01		         0.24167	1.60000e+01	
0.85669   	-2.72303e-01		         0.24333	1.70000e+01	
