Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00141   	-3.86219e+01	-4.20972e+01	-4.10723e+01		         0.00000	4.30000e+01	
0.01731   	-3.78607e+01	-4.16405e+01	-3.81235e+01		         0.00167	6.10000e+01	
0.03321   	-3.67457e+01	-4.02389e+01	-3.86570e+01		         0.00333	8.30000e+01	
0.04911   	-3.53786e+01	-4.09444e+01	-3.83554e+01		         0.00500	1.07000e+02	
0.06502   	-3.41696e+01	-4.18123e+01	-3.97921e+01		         0.00667	1.32000e+02	
0.08091   	-3.33078e+01	-4.08375e+01	-3.91437e+01		         0.00833	1.59000e+02	
0.09682   	-3.36464e+01	-4.01804e+01	-4.10349e+01		         0.01000	1.85000e+02	
0.11272   	-3.38635e+01	-4.07027e+01	-4.10973e+01		         0.01167	2.11000e+02	
0.12862   	-3.36708e+01	-4.11359e+01	-4.12844e+01		         0.01333	2.34000e+02	
0.14452   	-3.28660e+01	-4.07864e+01	-4.20849e+01		         0.01500	2.55000e+02	
0.16042   	-3.29876e+01	-4.17083e+01	-4.28569e+01		         0.01667	2.71000e+02	
0.17632   	-3.23820e+01	-4.36770e+01	-4.54114e+01		         0.01833	2.81000e+02	
0.19223   	-3.19513e+01	-4.60661e+01	-4.06023e+01		         0.02000	2.86000e+02	
0.20813   	-3.27004e+01	-4.69383e+01	-4.35623e+01		         0.02167	2.84000e+02	
0.22403   	-3.31132e+01	-4.81623e+01	-4.42682e+01		         0.02333	2.75000e+02	
0.23994   	-3.32234e+01	-4.97235e+01	-4.30059e+01		         0.02500	2.59000e+02	
0.25584   	-3.38176e+01	-4.88554e+01	-4.47041e+01		         0.02667	2.36000e+02	
0.27174   	-3.50694e+01	-4.94706e+01	-4.56767e+01		         0.02833	2.08000e+02	
0.28764   	-3.63985e+01	-5.05394e+01	-4.59671e+01		         0.03000	1.74000e+02	
0.30354   	-3.76456e+01	-5.20223e+01	-4.59148e+01		         0.03167	1.37000e+02	
0.31944   	-3.83463e+01	-5.19843e+01	-4.58733e+01		         0.03333	9.80000e+01	
0.33535   	-3.82872e+01	-5.24832e+01	-4.53582e+01		         0.03500	5.80000e+01	
0.35125   	-3.84529e+01	-5.33594e+01	-4.36799e+01		         0.03667	1.80000e+01	
0.36715   	-3.83014e+01	-5.28512e+01	-4.33036e+01		         0.03833	-2.00000e+01	
0.38305   	-3.82844e+01	-5.25772e+01	-4.32874e+01		         0.04000	-5.50000e+01	
0.39895   	-3.67877e+01	-5.30598e+01	-4.34481e+01		         0.04167	-8.60000e+01	
0.41486   	-3.66743e+01	-5.25968e+01	-4.41683e+01		         0.04333	-1.12000e+02	
0.43076   	-3.72004e+01	-5.18119e+01	-4.37972e+01		         0.04500	-1.32000e+02	
0.44666   	-3.78709e+01	-5.15244e+01	-4.31822e+01		         0.04667	-1.48000e+02	
0.46257   	-3.43964e+01	-5.16018e+01	-4.40792e+01		         0.04833	-1.58000e+02	
0.47846   	-3.35225e+01	-5.12001e+01	-4.40276e+01		         0.05000	-1.63000e+02	
0.49436   	-3.40138e+01	-4.75260e+01	-4.41151e+01		         0.05167	-1.63000e+02	
0.51027   	-3.63063e+01	-4.43288e+01	-4.23754e+01		         0.05333	-1.60000e+02	
0.52617   	-3.30951e+01	-3.92389e+01	-4.01141e+01		         0.05500	-1.54000e+02	
0.54207   	-3.29903e+01	-3.64873e+01	-3.87456e+01		         0.05667	-1.46000e+02	
0.55797   	-3.31825e+01	-3.55238e+01	-3.71543e+01		         0.05833	-1.36000e+02	
0.57387   	-3.41684e+01	-3.54433e+01	-3.80173e+01		         0.06000	-1.25000e+02	
0.58978   	-3.43735e+01	-3.52880e+01	-3.60192e+01		         0.06167	-1.14000e+02	
0.60568   	-3.47502e+01	-3.59131e+01	-3.69342e+01		         0.06333	-1.04000e+02	
0.62158   	-3.52070e+01	-3.53865e+01	-3.50818e+01		         0.06500	-9.30000e+01	
0.63748   	-3.51507e+01	-3.52088e+01	-3.43941e+01		         0.06667	-8.40000e+01	
0.65339   	-3.47150e+01	-3.58091e+01	-3.45595e+01		         0.06833	-7.60000e+01	
0.66929   	-3.48203e+01	-3.65479e+01	-3.63529e+01		         0.07000	-6.90000e+01	
0.68519   	-3.53297e+01	-3.87051e+01	-3.64421e+01		         0.07167	-6.20000e+01	
0.70109   	-3.57514e+01	-3.89591e+01	-3.43810e+01		         0.07333	-5.70000e+01	
0.71699   	-3.61020e+01	-3.86771e+01	-3.45939e+01		         0.07500	-5.20000e+01	
0.73289   	-3.49501e+01	-3.97146e+01	-3.62357e+01		         0.07667	-4.90000e+01	
0.74880   	-3.54055e+01	-3.96832e+01	-3.37891e+01		         0.07833	-4.60000e+01	
0.76470   	-3.63783e+01	-3.94744e+01	-3.76501e+01		         0.08000	-4.30000e+01	
0.78060   	-3.51592e+01	-3.72787e+01	-3.77986e+01		         0.08167	-4.10000e+01	
0.79650   	-3.59012e+01	-3.90173e+01	-3.68987e+01		         0.08333	-3.90000e+01	
0.81241   	-3.48454e+01	-4.03158e+01	-3.59216e+01		         0.08500	-3.70000e+01	
0.82831   	-3.27197e+01	-4.14039e+01	-3.37665e+01		         0.08667	-3.50000e+01	
0.84421   	-3.14300e+01	-4.09416e+01	-3.23711e+01		         0.08833	-3.40000e+01	
0.86011   	-3.02348e+01	-4.20244e+01	-3.60846e+01		         0.09000	-3.20000e+01	
0.87601   	-2.98214e+01	-4.21252e+01	-3.76189e+01		         0.09167	-3.10000e+01	
0.89196   	-2.97468e+01	-4.33952e+01	-3.30353e+01		         0.09333	-3.00000e+01	
0.90781   	-3.03994e+01	-4.64669e+01	-3.52205e+01		         0.09500	-2.90000e+01	
0.92372   	-3.02976e+01	-4.99109e+01	-3.68697e+01		         0.09667	-2.80000e+01	
0.93962   	-3.11513e+01	-5.11057e+01	-3.24589e+01		         0.09833	-2.80000e+01	
0.95552   	-3.18654e+01	-5.11509e+01	-3.49881e+01		         0.10000	-2.80000e+01	
0.97142   	-3.27502e+01	-5.19744e+01	-2.70308e+01		         0.10167	-2.80000e+01	
0.98733   	-3.31827e+01	-5.28955e+01	-3.58388e+01		         0.10333	-2.80000e+01	
1.00323   	-3.36639e+01	-5.30229e+01	-3.75730e+01		         0.10500	-2.80000e+01	
1.01913   	-3.40772e+01	-5.39285e+01	-4.02234e+01		         0.10667	-2.90000e+01	
1.03504   	-3.40282e+01	-5.32459e+01	-3.94603e+01		         0.10833	-2.90000e+01	
1.05093   	-3.31399e+01	-5.25801e+01	-4.06843e+01		         0.11000	-2.90000e+01	
1.06683   	-3.25566e+01	-5.37437e+01	-3.94079e+01		         0.11167	-2.90000e+01	
1.08274   	-3.18417e+01	-5.40337e+01	-3.94044e+01		         0.11333	-2.90000e+01	
1.09864   	-3.21621e+01	-5.40433e+01	-4.04284e+01		         0.11500	-2.80000e+01	
1.11454   	-3.31183e+01	-5.39532e+01	-4.10543e+01		         0.11667	-2.70000e+01	
1.13044   	-3.48993e+01	-5.40324e+01	-4.18261e+01		         0.11833	-2.60000e+01	
1.14635   	-3.51714e+01	-5.34514e+01	-4.12230e+01		         0.12000	-2.50000e+01	
1.16225   	-3.26554e+01	-5.30847e+01	-3.96571e+01		         0.12167	-2.30000e+01	
1.17815   	-3.22004e+01	-5.41957e+01	-3.96340e+01		         0.12333	-2.20000e+01	
1.19405   	-3.37061e+01	-5.30320e+01	-4.00636e+01		         0.12500	-2.00000e+01	
1.20996   	-3.27324e+01	-5.35322e+01	-4.19381e+01		         0.12667	-1.80000e+01	
1.22585   	-3.21124e+01	-5.43315e+01	-4.32883e+01		         0.12833	-1.70000e+01	
1.24176   	-3.36671e+01	-5.21482e+01	-4.54311e+01		         0.13000	-1.50000e+01	
1.25766   	-3.26886e+01	-5.09026e+01	-4.55873e+01		         0.13167	-1.40000e+01	
1.27375   	-3.28837e+01	-4.83996e+01	-4.04316e+01		         0.13333	-1.30000e+01	
1.28946   	-3.39763e+01	-4.51590e+01	-3.80051e+01		         0.13500	-1.30000e+01	
1.30536   	-3.19667e+01	-4.40073e+01	-3.74509e+01		         0.13667	-1.20000e+01	
1.32126   	-3.32814e+01	-4.45536e+01	-3.74851e+01		         0.13833	-1.20000e+01	
1.33717   	-3.32375e+01	-4.44829e+01	-3.93476e+01		         0.14000	-1.20000e+01	
1.35307   	-3.41998e+01	-4.41620e+01	-3.89489e+01		         0.14167	-1.20000e+01	
1.36897   	-3.53193e+01	-4.35641e+01	-3.87734e+01		         0.14333	-1.20000e+01	
1.38488   	-3.57844e+01	-4.70766e+01	-3.99755e+01		         0.14500	-1.20000e+01	
1.40078   	-3.58809e+01	-4.79742e+01	-3.98863e+01		         0.14667	-1.20000e+01	
1.41668   	-3.57666e+01	-4.75256e+01	-4.09776e+01		         0.14833	-1.20000e+01	
1.43258   	-3.60763e+01	-4.90056e+01	-3.90384e+01		         0.15000	-1.30000e+01	
1.44848   	-3.70980e+01	-4.78115e+01	-3.85849e+01		         0.15167	-1.30000e+01	
1.46438   	-3.74984e+01	-4.79207e+01	-3.76046e+01		         0.15333	-1.30000e+01	
1.48029   	-3.73623e+01	-4.84213e+01	-3.73329e+01		         0.15500	-1.20000e+01	
1.49619   	-3.80750e+01	-4.93693e+01	-3.70653e+01		         0.15667	-1.20000e+01	
1.51209   	-3.74027e+01	-5.10522e+01	-3.86384e+01		         0.15833	-1.10000e+01	
1.52799   	-3.74694e+01	-4.98977e+01	-3.87643e+01		         0.16000	-1.10000e+01	
1.54389   	-3.63255e+01	-4.93589e+01	-4.02809e+01		         0.16167	-1.00000e+01	
1.55980   	-3.35681e+01	-4.86248e+01	-4.08338e+01		         0.16333	-9.00000e+00	
					         0.16500	-8.00000e+00	
					         0.16667	-7.00000e+00	
					         0.16833	-6.00000e+00	
					         0.17000	-5.00000e+00	
					         0.17167	-5.00000e+00	
					         0.17333	-4.00000e+00	
					         0.17500	-4.00000e+00	
					         0.17667	-3.00000e+00	
					         0.17833	-3.00000e+00	
					         0.18000	-2.00000e+00	
					         0.18167	-2.00000e+00	
					         0.18333	-2.00000e+00	
					         0.18500	-1.00000e+00	
					         0.18667	0.00000e+00	
					         0.18833	0.00000e+00	
					         0.19000	1.00000e+00	
					         0.19167	2.00000e+00	
					         0.19333	3.00000e+00	
					         0.19500	3.00000e+00	
					         0.19667	4.00000e+00	
					         0.19833	5.00000e+00	
					         0.20000	6.00000e+00	
					         0.20167	8.00000e+00	
					         0.20333	9.00000e+00	
					         0.20500	1.00000e+01	
					         0.20667	1.20000e+01	
					         0.20833	1.40000e+01	
					         0.21000	1.50000e+01	
					         0.21167	1.70000e+01	
					         0.21333	1.90000e+01	
					         0.21500	2.10000e+01	
					         0.21667	2.30000e+01	
					         0.21833	2.40000e+01	
					         0.22000	2.50000e+01	
					         0.22167	2.60000e+01	
					         0.22333	2.70000e+01	
					         0.22500	2.70000e+01	
					         0.22667	2.70000e+01	
					         0.22833	2.70000e+01	
					         0.23000	2.70000e+01	
					         0.23167	2.70000e+01	
					         0.23333	2.60000e+01	
					         0.23500	2.60000e+01	
					         0.23667	2.70000e+01	
					         0.23833	2.70000e+01	
					         0.24000	2.80000e+01	
					         0.24167	2.90000e+01	
					         0.24333	3.00000e+01	
					         0.24500	3.10000e+01	
					         0.24667	3.30000e+01	
					         0.24833	3.50000e+01	
					         0.25000	3.60000e+01	
					         0.25167	3.80000e+01	
					         0.25333	4.10000e+01	
					         0.25500	4.30000e+01	
					         0.25667	4.50000e+01	
					         0.25833	4.70000e+01	
					         0.26000	4.90000e+01	
					         0.26167	5.10000e+01	
					         0.26333	5.30000e+01	
					         0.26500	5.50000e+01	
					         0.26667	5.60000e+01	
					         0.26833	5.80000e+01	
					         0.27000	5.90000e+01	
					         0.27167	6.00000e+01	
					         0.27333	6.00000e+01	
					         0.27500	6.00000e+01	
					         0.27667	6.00000e+01	
					         0.27833	6.00000e+01	
					         0.28000	5.90000e+01	
					         0.28167	5.80000e+01	
					         0.28333	5.70000e+01	
					         0.28500	5.60000e+01	
					         0.28667	5.40000e+01	
					         0.28833	5.30000e+01	
					         0.29000	5.10000e+01	
					         0.29167	5.00000e+01	
					         0.29333	4.80000e+01	
					         0.29500	4.60000e+01	
					         0.29667	4.50000e+01	
					         0.29833	4.30000e+01	
					         0.30000	4.10000e+01	
					         0.30167	3.90000e+01	
					         0.30333	3.70000e+01	
					         0.30500	3.50000e+01	
					         0.30667	3.20000e+01	
					         0.30833	3.00000e+01	
					         0.31000	2.70000e+01	
					         0.31167	2.40000e+01	
					         0.31333	2.20000e+01	
					         0.31500	1.90000e+01	
					         0.31667	1.60000e+01	
					         0.31833	1.30000e+01	
					         0.32000	1.00000e+01	
					         0.32167	8.00000e+00	
					         0.32333	6.00000e+00	
					         0.32500	4.00000e+00	
					         0.32667	2.00000e+00	
					         0.32833	0.00000e+00	
					         0.33000	-1.00000e+00	
					         0.33167	-2.00000e+00	
					         0.33333	-3.00000e+00	
					         0.33500	-4.00000e+00	
					         0.33667	-5.00000e+00	
					         0.33833	-7.00000e+00	
					         0.34000	-8.00000e+00	
					         0.34167	-9.00000e+00	
					         0.34333	-1.00000e+01	
					         0.34500	-1.10000e+01	
					         0.34667	-1.20000e+01	
					         0.34833	-1.30000e+01	
					         0.35000	-1.40000e+01	
					         0.35167	-1.50000e+01	
					         0.35333	-1.60000e+01	
					         0.35500	-1.60000e+01	
					         0.35667	-1.70000e+01	
					         0.35833	-1.70000e+01	
					         0.36000	-1.70000e+01	
					         0.36167	-1.70000e+01	
					         0.36333	-1.70000e+01	
					         0.36500	-1.70000e+01	
					         0.36667	-1.70000e+01	
					         0.36833	-1.70000e+01	
					         0.37000	-1.70000e+01	
					         0.37167	-1.70000e+01	
					         0.37333	-1.60000e+01	
					         0.37500	-1.60000e+01	
					         0.37667	-1.60000e+01	
					         0.37833	-1.50000e+01	
					         0.38000	-1.40000e+01	
					         0.38167	-1.30000e+01	
					         0.38333	-1.20000e+01	
					         0.38500	-1.10000e+01	
					         0.38667	-1.00000e+01	
					         0.38833	-9.00000e+00	
					         0.39000	-7.00000e+00	
					         0.39167	-7.00000e+00	
