Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00088   	-3.27029e+01	-4.22670e+01	-3.81670e+01		         0.00000	4.30000e+01	
0.01785   	-3.29292e+01	-4.30139e+01	-3.69453e+01		         0.00167	6.00000e+01	
0.03484   	-3.26346e+01	-4.27915e+01	-3.66945e+01		         0.00333	7.80000e+01	
0.05182   	-3.27221e+01	-4.36630e+01	-3.82926e+01		         0.00500	9.70000e+01	
0.06880   	-3.37325e+01	-4.37313e+01	-3.85526e+01		         0.00667	1.17000e+02	
0.08578   	-3.41843e+01	-4.35081e+01	-4.04922e+01		         0.00833	1.37000e+02	
0.10276   	-3.02801e+01	-4.28809e+01	-3.69856e+01		         0.01000	1.58000e+02	
0.11974   	-2.36491e+01	-3.96010e+01	-3.28490e+01		         0.01167	1.78000e+02	
0.22543   	-3.10089e+01	-2.30040e+01	-2.69173e+01		         0.01333	1.96000e+02	
0.24241   	-3.30186e+01	-2.32258e+01	-2.61934e+01		         0.01500	2.11000e+02	
0.25939   	-3.29230e+01	-2.52051e+01	-2.40277e+01		         0.01667	2.23000e+02	
0.27637   	-3.29754e+01	-2.71164e+01	-2.42964e+01		         0.01833	2.29000e+02	
0.29335   	-3.31231e+01	-3.01050e+01	-2.50325e+01		         0.02000	2.30000e+02	
0.31033   	-3.35610e+01	-3.35060e+01	-2.47130e+01		         0.02167	2.25000e+02	
0.32731   	-3.39297e+01	-3.52249e+01	-2.40946e+01		         0.02333	2.13000e+02	
0.34429   	-3.43962e+01	-3.90113e+01	-2.34484e+01		         0.02500	1.95000e+02	
0.36127   	-3.50043e+01	-4.12624e+01	-2.31038e+01		         0.02667	1.71000e+02	
0.37825   	-3.51277e+01	-4.34795e+01	-2.24967e+01		         0.02833	1.41000e+02	
0.39523   	-3.49443e+01	-4.41761e+01	-2.24287e+01		         0.03000	1.05000e+02	
0.41221   	-3.48458e+01	-4.40445e+01	-2.14711e+01		         0.03167	6.50000e+01	
0.42919   	-3.46040e+01	-4.39037e+01	-2.12498e+01		         0.03333	2.30000e+01	
0.44617   	-3.42755e+01	-4.36209e+01	-2.03390e+01		         0.03500	-2.10000e+01	
0.46315   	-3.40262e+01	-4.33495e+01	-2.16378e+01		         0.03667	-6.50000e+01	
0.48013   	-3.27387e+01	-4.18186e+01	-2.35280e+01		         0.03833	-1.06000e+02	
0.49711   	-3.26094e+01	-3.82580e+01	-2.53714e+01		         0.04000	-1.43000e+02	
0.51409   	-3.26676e+01	-3.64675e+01	-2.94998e+01		         0.04167	-1.75000e+02	
0.53108   	-3.26019e+01	-3.18735e+01	-3.00190e+01		         0.04333	-2.00000e+02	
0.54805   	-3.11011e+01	-3.12623e+01	-3.22009e+01		         0.04500	-2.19000e+02	
0.56503   	-3.16854e+01	-2.92176e+01	-3.41127e+01		         0.04667	-2.31000e+02	
0.58237   	-3.20296e+01	-2.94473e+01	-3.29708e+01		         0.04833	-2.36000e+02	
0.59912   	-3.11709e+01	-2.90378e+01	-3.35432e+01		         0.05000	-2.35000e+02	
0.61597   	-2.96441e+01	-2.97693e+01	-3.34168e+01		         0.05167	-2.29000e+02	
0.63295   	-2.94104e+01	-3.03838e+01	-3.42496e+01		         0.05333	-2.19000e+02	
0.64993   	-3.03787e+01	-2.79906e+01	-3.54568e+01		         0.05500	-2.05000e+02	
0.66691   	-3.13739e+01	-2.89580e+01	-3.37875e+01		         0.05667	-1.88000e+02	
0.68389   	-3.18413e+01	-3.03675e+01	-3.06401e+01		         0.05833	-1.71000e+02	
0.70087   	-3.22743e+01	-3.15593e+01	-2.91345e+01		         0.06000	-1.53000e+02	
0.71786   	-3.25130e+01	-3.23349e+01	-2.87932e+01		         0.06167	-1.35000e+02	
0.73484   	-3.25684e+01	-3.17126e+01	-2.85818e+01		         0.06333	-1.18000e+02	
0.75182   	-3.26584e+01	-3.13255e+01	-2.83677e+01		         0.06500	-1.02000e+02	
0.76880   	-3.27607e+01	-3.09986e+01	-2.81364e+01		         0.06667	-8.80000e+01	
0.78578   	-3.30032e+01	-3.11262e+01	-2.78587e+01		         0.06833	-7.60000e+01	
0.80276   	-3.29702e+01	-3.11516e+01	-2.76101e+01		         0.07000	-6.60000e+01	
0.81974   	-3.29930e+01	-3.05658e+01	-2.74248e+01		         0.07167	-5.70000e+01	
0.83672   	-3.30218e+01	-3.05424e+01	-2.73075e+01		         0.07333	-5.00000e+01	
0.85370   	-3.31797e+01	-2.92621e+01	-2.72137e+01		         0.07500	-4.50000e+01	
0.87068   	-3.32810e+01	-2.79902e+01	-2.70953e+01		         0.07667	-4.00000e+01	
0.88766   	-3.34281e+01	-2.75731e+01	-2.69672e+01		         0.07833	-3.60000e+01	
0.90463   	-3.35522e+01	-2.73237e+01	-2.70186e+01		         0.08000	-3.30000e+01	
0.92162   	-3.37961e+01	-2.86305e+01	-2.70389e+01		         0.08167	-3.00000e+01	
0.93860   	-3.39372e+01	-2.76905e+01	-2.70450e+01		         0.08333	-2.80000e+01	
0.95557   	-3.32927e+01	-3.53849e+01	-2.70085e+01		         0.08500	-2.60000e+01	
0.97256   	-3.28196e+01	-3.83115e+01	-2.85523e+01		         0.08667	-2.40000e+01	
0.98954   	-3.19878e+01	-4.14520e+01	-2.89234e+01		         0.08833	-2.30000e+01	
1.00652   	-3.19393e+01	-4.23637e+01	-2.97242e+01		         0.09000	-2.20000e+01	
1.02350   	-3.30995e+01	-4.23462e+01	-3.55241e+01		         0.09167	-2.10000e+01	
1.04048   	-3.33722e+01	-4.17728e+01	-3.66122e+01		         0.09333	-1.90000e+01	
1.05746   	-3.31184e+01	-4.25901e+01	-3.54152e+01		         0.09500	-1.80000e+01	
1.07444   	-3.31404e+01	-4.21595e+01	-3.58745e+01		         0.09667	-1.70000e+01	
1.09142   	-3.35167e+01	-4.35371e+01	-3.74249e+01		         0.09833	-1.60000e+01	
1.10840   	-3.46733e+01	-4.35513e+01	-3.73845e+01		         0.10000	-1.50000e+01	
1.12538   	-3.55243e+01	-4.29161e+01	-3.70899e+01		         0.10167	-1.40000e+01	
1.14236   	-3.24645e+01	-4.19055e+01	-3.51038e+01		         0.10333	-1.30000e+01	
1.15934   	-2.59867e+01	-3.86679e+01	-2.59209e+01		         0.10500	-1.20000e+01	
1.17631   	-2.50988e+01	-3.63147e+01	-2.95124e+01		         0.10667	-1.10000e+01	
1.19329   	-2.59424e+01	-3.68436e+01	-2.73356e+01		         0.10833	-1.00000e+01	
1.21028   	-2.42128e+01	-3.54411e+01	-2.64004e+01		         0.11000	-9.00000e+00	
1.22726   	-2.46927e+01	-3.19024e+01	-2.87540e+01		         0.11167	-9.00000e+00	
1.24423   	-2.91629e+01	-2.35455e+01	-2.71426e+01		         0.11333	-8.00000e+00	
1.26121   	-3.24808e+01	-2.03348e+01	-2.61038e+01		         0.11500	-8.00000e+00	
1.27819   	-3.25433e+01	-1.97701e+01	-2.64315e+01		         0.11667	-7.00000e+00	
1.29518   	-3.25726e+01	-2.27367e+01	-2.44474e+01		         0.11833	-6.00000e+00	
1.31215   	-3.27365e+01	-2.70027e+01	-2.37796e+01		         0.12000	-5.00000e+00	
1.32947   	-3.27816e+01	-3.01149e+01	-2.43755e+01		         0.12167	-4.00000e+00	
1.34616   	-3.31387e+01	-3.35334e+01	-2.41215e+01		         0.12333	-2.00000e+00	
