Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00025   	-3.90419e+01	-3.34806e+01	-3.38819e+01		         0.00000	-4.00000e+00	
0.02401   	-3.78842e+01	-3.09344e+01	-3.35674e+01		         0.00167	-8.00000e+00	
0.04777   	-3.47691e+01	-3.21435e+01	-3.24447e+01		         0.00333	-1.30000e+01	
0.07154   	-2.83949e+01	-3.01781e+01	-3.38576e+01		         0.00500	-1.80000e+01	
0.09531   	-2.97364e+01	-2.85771e+01	-3.77958e+01		         0.00667	-2.50000e+01	
0.11907   	-3.12496e+01	-2.80840e+01	-3.82000e+01		         0.00833	-3.20000e+01	
0.14283   	-2.71250e+01	-3.01916e+01	-4.05956e+01		         0.01000	-4.00000e+01	
0.16660   	-2.78241e+01	-3.63962e+01	-3.76342e+01		         0.01167	-4.70000e+01	
0.19036   	-2.94806e+01	-3.90841e+01	-4.05318e+01		         0.01333	-5.40000e+01	
0.21413   	-2.90849e+01	-4.45448e+01	-3.84471e+01		         0.01500	-6.10000e+01	
0.23789   	-2.87814e+01	-4.38233e+01	-3.96771e+01		         0.01667	-6.60000e+01	
0.26166   	-2.85555e+01	-4.43023e+01	-3.98961e+01		         0.01833	-7.10000e+01	
0.28542   	-2.82562e+01	-4.50438e+01	-4.05730e+01		         0.02000	-7.40000e+01	
0.30919   	-2.85253e+01	-4.58317e+01	-4.10017e+01		         0.02167	-7.50000e+01	
0.33295   	-2.82017e+01	-4.66706e+01	-4.14276e+01		         0.02333	-7.50000e+01	
0.35678   	-2.80850e+01	-4.73957e+01	-4.05220e+01		         0.02500	-7.30000e+01	
0.38048   	-2.75312e+01	-4.74819e+01	-4.13385e+01		         0.02667	-6.90000e+01	
0.40424   	-2.68930e+01	-4.41875e+01	-4.21374e+01		         0.02833	-6.40000e+01	
0.42801   	-2.58913e+01	-4.31529e+01	-4.17047e+01		         0.03000	-5.80000e+01	
0.45178   	-2.51107e+01	-4.12941e+01	-3.96453e+01		         0.03167	-5.10000e+01	
0.47554   	-2.22892e+01	-3.89659e+01	-3.63301e+01		         0.03333	-4.30000e+01	
0.49931   	-2.39037e+01	-3.43744e+01	-3.34334e+01		         0.03500	-3.50000e+01	
0.52307   	-2.09003e+01	-2.84353e+01	-3.19784e+01		         0.03667	-2.80000e+01	
0.54683   	-2.22660e+01	-2.99355e+01	-3.03347e+01		         0.03833	-2.00000e+01	
0.57060   	-2.63966e+01	-2.66698e+01	-3.06713e+01		         0.04000	-1.20000e+01	
0.59436   	-2.87540e+01	-2.56998e+01	-2.92659e+01		         0.04167	-5.00000e+00	
0.61813   	-3.13991e+01	-2.71280e+01	-2.82663e+01		         0.04333	1.00000e+00	
0.64189   	-3.26887e+01	-2.69856e+01	-2.85705e+01		         0.04500	7.00000e+00	
0.66565   	-2.77816e+01	-2.72912e+01	-3.14444e+01		         0.04667	1.20000e+01	
0.68942   	-2.72854e+01	-2.73267e+01	-3.08614e+01		         0.04833	1.60000e+01	
0.71319   	-3.16695e+01	-2.67834e+01	-3.15556e+01		         0.05000	2.00000e+01	
0.73695   	-3.06033e+01	-2.71900e+01	-3.21374e+01		         0.05167	2.30000e+01	
0.76071   	-3.31681e+01	-2.74974e+01	-2.94121e+01		         0.05333	2.60000e+01	
0.78448   	-3.04099e+01	-2.73736e+01	-2.89697e+01		         0.05500	2.80000e+01	
0.80825   	-2.45740e+01	-2.69800e+01	-3.17584e+01		         0.05667	3.00000e+01	
0.83201   	-2.32177e+01	-2.64989e+01	-3.35696e+01		         0.05833	3.10000e+01	
0.85577   	-1.77245e+01	-2.37571e+01	-3.75129e+01		         0.06000	3.20000e+01	
0.87954   	-1.92790e+01	-2.43220e+01	-3.99148e+01		         0.06167	3.30000e+01	
0.90330   	-1.92306e+01	-2.65393e+01	-4.09035e+01		         0.06333	3.30000e+01	
0.92707   	-2.14350e+01	-3.57945e+01	-3.96776e+01		         0.06500	3.40000e+01	
0.95083   	-1.98641e+01	-3.88408e+01	-3.75742e+01		         0.06667	3.40000e+01	
0.97460   	-2.01870e+01	-3.89999e+01	-3.65416e+01		         0.06833	3.40000e+01	
0.99836   	-2.26723e+01	-4.16531e+01	-3.73296e+01		         0.07000	3.40000e+01	
1.02212   	-2.33815e+01	-4.25312e+01	-4.00643e+01		         0.07167	3.30000e+01	
1.04589   	-2.52084e+01	-4.33360e+01	-3.99917e+01		         0.07333	3.30000e+01	
1.06965   	-2.51510e+01	-4.47904e+01	-4.01639e+01		         0.07500	3.20000e+01	
1.09342   	-2.53297e+01	-4.72666e+01	-4.09426e+01		         0.07667	3.20000e+01	
1.11718   	-2.40143e+01	-4.76560e+01	-4.13208e+01		         0.07833	3.10000e+01	
1.14095   	-2.22095e+01	-4.74452e+01	-4.12020e+01		         0.08000	3.10000e+01	
1.16471   	-2.23680e+01	-4.62177e+01	-4.16393e+01		         0.08167	3.00000e+01	
1.18848   	-2.23541e+01	-4.54837e+01	-3.92687e+01		         0.08333	2.90000e+01	
1.21224   	-1.95862e+01	-4.33816e+01	-3.39391e+01		         0.08500	2.90000e+01	
1.23600   	-2.35722e+01	-4.41399e+01	-3.22388e+01		         0.08667	2.80000e+01	
1.25977   	-2.47250e+01	-4.08385e+01	-3.31468e+01		         0.08833	2.70000e+01	
1.28353   	-2.57534e+01	-3.74141e+01	-3.14398e+01		         0.09000	2.70000e+01	
1.30730   	-2.55464e+01	-3.47666e+01	-2.77994e+01		         0.09167	2.70000e+01	
1.33106   	-2.19753e+01	-3.60311e+01	-2.81031e+01		         0.09333	2.60000e+01	
1.35483   	-2.24410e+01	-3.36079e+01	-2.89077e+01		         0.09500	2.60000e+01	
1.37859   	-2.62558e+01	-3.32536e+01	-2.80891e+01		         0.09667	2.70000e+01	
1.40236   	-2.67852e+01	-3.27762e+01	-2.76258e+01		         0.09833	2.70000e+01	
1.42612   	-2.54233e+01	-3.19328e+01	-2.82278e+01		         0.10000	2.70000e+01	
1.44988   	-2.58013e+01	-3.07587e+01	-2.92105e+01		         0.10167	2.80000e+01	
1.47365   	-2.56501e+01	-3.13116e+01	-2.84282e+01		         0.10333	2.80000e+01	
1.49742   	-2.48183e+01	-3.08144e+01	-3.02353e+01		         0.10500	2.90000e+01	
