Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.01314   	2.94316e-01		         0.00000	3.00000e+02	
0.02027   	-3.21640e-01		         0.00167	3.79000e+02	
0.02724   	-1.62211e-01		         0.00333	4.62000e+02	
0.03428   	-2.78697e-02		         0.00500	5.46000e+02	
0.04133   	-1.46771e-01		         0.00667	6.29000e+02	
0.04838   	-3.18135e-01		         0.00833	7.05000e+02	
0.05543   	1.58935e-01		         0.01000	7.72000e+02	
0.06248   	2.74802e-02		         0.01167	8.25000e+02	
0.06952   	6.06355e-01		         0.01333	8.61000e+02	
0.07657   	1.30513e+00		         0.01500	8.78000e+02	
0.08361   	1.71881e+00		         0.01667	8.74000e+02	
0.09066   	2.66364e+00		         0.01833	8.48000e+02	
0.09771   	3.59526e+00		         0.02000	8.02000e+02	
0.10476   	4.09293e+00		         0.02167	7.38000e+02	
0.11181   	4.34599e+00		         0.02333	6.58000e+02	
0.11889   	4.62485e+00		         0.02500	5.68000e+02	
0.12590   	4.60652e+00		         0.02667	4.70000e+02	
0.13295   	4.65950e+00		         0.02833	3.69000e+02	
0.14000   	4.74450e+00		         0.03000	2.68000e+02	
0.14704   	4.82514e+00		         0.03167	1.71000e+02	
0.15409   	4.84301e+00		         0.03333	8.10000e+01	
0.16114   	4.80225e+00		         0.03500	0.00000e+00	
0.16818   	4.79551e+00		         0.03667	-7.20000e+01	
0.17523   	4.74008e+00		         0.03833	-1.32000e+02	
0.18228   	4.66730e+00		         0.04000	-1.82000e+02	
0.18933   	4.61450e+00		         0.04167	-2.21000e+02	
0.19637   	4.58353e+00		         0.04333	-2.51000e+02	
0.20342   	4.50473e+00		         0.04500	-2.73000e+02	
0.21047   	4.41469e+00		         0.04667	-2.87000e+02	
0.21751   	4.35082e+00		         0.04833	-2.96000e+02	
0.22456   	4.29730e+00		         0.05000	-2.99000e+02	
0.23161   	4.17266e+00		         0.05167	-3.00000e+02	
0.23866   	4.08719e+00		         0.05333	-2.97000e+02	
0.24570   	3.99116e+00		         0.05500	-2.92000e+02	
0.25275   	3.89457e+00		         0.05667	-2.85000e+02	
0.25980   	3.74686e+00		         0.05833	-2.77000e+02	
0.26684   	3.65439e+00		         0.06000	-2.69000e+02	
0.27389   	3.54601e+00		         0.06167	-2.60000e+02	
0.28094   	3.40266e+00		         0.06333	-2.52000e+02	
0.28799   	3.27639e+00		         0.06500	-2.44000e+02	
0.29503   	3.19130e+00		         0.06667	-2.36000e+02	
0.30208   	3.02768e+00		         0.06833	-2.29000e+02	
0.30913   	2.84660e+00		         0.07000	-2.22000e+02	
0.31617   	2.73641e+00		         0.07167	-2.16000e+02	
0.32322   	2.57476e+00		         0.07333	-2.10000e+02	
0.33027   	2.37956e+00		         0.07500	-2.05000e+02	
0.33731   	2.22820e+00		         0.07667	-2.00000e+02	
0.34436   	2.08234e+00		         0.07833	-1.95000e+02	
0.35141   	1.87863e+00		         0.08000	-1.90000e+02	
0.35846   	1.71045e+00		         0.08167	-1.86000e+02	
0.36551   	1.49426e+00		         0.08333	-1.81000e+02	
0.37255   	1.22937e+00		         0.08500	-1.77000e+02	
0.37960   	8.24009e-01		         0.08667	-1.72000e+02	
0.38665   	4.87523e-01		         0.08833	-1.67000e+02	
0.39369   	3.93401e-01		         0.09000	-1.62000e+02	
0.40074   	4.36656e-01		         0.09167	-1.57000e+02	
0.40779   	6.01264e-01		         0.09333	-1.52000e+02	
0.41483   	8.74787e-01		         0.09500	-1.48000e+02	
0.42189   	9.81460e-01		         0.09667	-1.44000e+02	
0.42893   	7.35097e-01		         0.09833	-1.40000e+02	
0.43598   	4.63851e-01		         0.10000	-1.36000e+02	
0.44303   	-7.47508e-02		         0.10167	-1.33000e+02	
0.45007   	-6.36308e-01		         0.10333	-1.30000e+02	
0.45712   	-1.26732e+00		         0.10500	-1.26000e+02	
0.46417   	-2.20188e+00		         0.10667	-1.23000e+02	
0.47122   	-3.22468e+00		         0.10833	-1.20000e+02	
0.47826   	-4.20838e+00		         0.11000	-1.17000e+02	
0.48531   	-5.02803e+00		         0.11167	-1.14000e+02	
0.49236   	-5.66220e+00		         0.11333	-1.11000e+02	
0.49940   	-5.90764e+00		         0.11500	-1.08000e+02	
0.50644   	-6.07333e+00		         0.11667	-1.05000e+02	
0.51350   	-6.01530e+00		         0.11833	-1.01000e+02	
0.52054   	-6.04465e+00		         0.12000	-9.80000e+01	
0.52759   	-6.01673e+00		         0.12167	-9.50000e+01	
0.53464   	-5.90148e+00		         0.12333	-9.20000e+01	
0.54169   	-5.68158e+00		         0.12500	-8.80000e+01	
0.54873   	-5.36638e+00		         0.12667	-8.60000e+01	
0.55578   	-4.96102e+00		         0.12833	-8.30000e+01	
0.56283   	-4.40485e+00		         0.13000	-8.00000e+01	
0.56987   	-3.78060e+00		         0.13167	-7.80000e+01	
0.57692   	-3.15682e+00		         0.13333	-7.60000e+01	
0.58397   	-2.56904e+00		         0.13500	-7.40000e+01	
0.59102   	-2.01097e+00		         0.13667	-7.20000e+01	
0.59806   	-1.60171e+00		         0.13833	-7.10000e+01	
0.60511   	-1.25147e+00		         0.14000	-7.00000e+01	
0.61216   	-9.92857e-01		         0.14167	-6.80000e+01	
0.61920   	-7.81543e-01		         0.14333	-6.70000e+01	
0.62625   	-5.86761e-01		         0.14500	-6.60000e+01	
0.63348   	-3.72936e-01		         0.14667	-6.50000e+01	
0.64035   	-2.06391e-01		         0.14833	-6.40000e+01	
0.64739   	-3.50706e-02		         0.15000	-6.30000e+01	
0.65444   	1.12103e-01		         0.15167	-6.20000e+01	
0.66149   	1.90216e-01		         0.15333	-6.00000e+01	
0.66853   	2.00048e-01		         0.15500	-5.80000e+01	
0.67558   	1.52240e-01		         0.15667	-5.60000e+01	
0.68263   	6.00087e-02		         0.15833	-5.30000e+01	
0.68968   	-4.79482e-02		         0.16000	-4.90000e+01	
0.69672   	-1.65527e-01		         0.16167	-4.60000e+01	
0.70377   	-4.29086e-01		         0.16333	-4.20000e+01	
0.71082   	-8.84142e-01		         0.16500	-3.80000e+01	
0.71787   	-1.68349e+00		         0.16667	-3.40000e+01	
0.72491   	-2.93754e+00		         0.16833	-3.10000e+01	
0.73196   	-4.52505e+00		         0.17000	-2.70000e+01	
0.73901   	-6.08025e+00		         0.17167	-2.40000e+01	
0.74605   	-7.34377e+00		         0.17333	-2.10000e+01	
0.75310   	-8.04858e+00		         0.17500	-1.80000e+01	
0.76015   	-8.11443e+00		         0.17667	-1.60000e+01	
0.76720   	-7.60434e+00		         0.17833	-1.40000e+01	
