Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.01921   	-3.18105e+00		         0.00000	1.40000e+01	
0.02585   	-3.61859e+00		         0.00167	1.70000e+01	
0.03277   	-4.36198e+00		         0.00333	2.00000e+01	
0.03941   	-3.44565e+00		         0.00500	2.30000e+01	
0.04606   	-2.84060e+00		         0.00667	2.50000e+01	
0.05270   	-2.52856e+00		         0.00833	2.70000e+01	
0.05961   	1.15551e+00		         0.01000	2.90000e+01	
0.06626   	2.01804e+00		         0.01167	2.90000e+01	
0.07290   	1.21948e+00		         0.01333	2.80000e+01	
0.07954   	1.12697e+00		         0.01500	2.60000e+01	
0.08646   	7.84792e-01		         0.01667	2.20000e+01	
0.09311   	-2.33494e+00		         0.01833	1.70000e+01	
0.09975   	-1.76516e+00		         0.02000	1.10000e+01	
0.10639   	-7.49247e-01		         0.02167	3.00000e+00	
0.11331   	-1.56383e-01		         0.02333	-6.00000e+00	
0.11995   	9.59914e-01		         0.02500	-1.50000e+01	
0.12659   	1.94448e+00		         0.02667	-2.50000e+01	
0.13324   	2.53588e+00		         0.02833	-3.60000e+01	
0.14016   	2.69593e+00		         0.03000	-4.60000e+01	
0.14680   	2.86554e+00		         0.03167	-5.60000e+01	
0.15344   	3.05590e+00		         0.03333	-6.40000e+01	
0.16009   	3.17935e+00		         0.03500	-7.20000e+01	
0.16700   	3.34441e+00		         0.03667	-7.80000e+01	
0.17364   	3.46299e+00		         0.03833	-8.20000e+01	
0.18044   	3.56053e+00		         0.04000	-8.40000e+01	
0.18693   	3.54169e+00		         0.04167	-8.40000e+01	
0.19385   	3.47416e+00		         0.04333	-8.20000e+01	
0.20049   	3.49646e+00		         0.04500	-7.80000e+01	
0.20713   	3.46220e+00		         0.04667	-7.30000e+01	
0.21378   	3.41698e+00		         0.04833	-6.60000e+01	
0.22069   	3.41638e+00		         0.05000	-5.90000e+01	
0.22733   	3.47524e+00		         0.05167	-5.00000e+01	
0.23398   	3.40550e+00		         0.05333	-4.20000e+01	
0.24062   	3.38586e+00		         0.05500	-3.30000e+01	
0.24754   	3.36839e+00		         0.05667	-2.40000e+01	
0.25419   	3.37593e+00		         0.05833	-1.60000e+01	
0.26083   	3.30275e+00		         0.06000	-9.00000e+00	
0.26747   	3.26458e+00		         0.06167	-2.00000e+00	
0.27439   	3.13191e+00		         0.06333	4.00000e+00	
0.28103   	3.02461e+00		         0.06500	9.00000e+00	
0.28767   	2.91487e+00		         0.06667	1.30000e+01	
0.29432   	2.82443e+00		         0.06833	1.60000e+01	
0.30123   	2.72886e+00		         0.07000	1.90000e+01	
0.30788   	2.72272e+00		         0.07167	2.10000e+01	
0.31452   	2.69635e+00		         0.07333	2.20000e+01	
0.32116   	2.60566e+00		         0.07500	2.30000e+01	
0.32808   	2.58540e+00		         0.07667	2.40000e+01	
0.33472   	2.54531e+00		         0.07833	2.40000e+01	
0.34137   	2.51900e+00		         0.08000	2.40000e+01	
0.34801   	2.46289e+00		         0.08167	2.40000e+01	
0.35492   	2.47756e+00		         0.08333	2.30000e+01	
0.36157   	2.48148e+00		         0.08500	2.20000e+01	
0.36821   	2.42807e+00		         0.08667	2.10000e+01	
0.37486   	2.35712e+00		         0.08833	2.00000e+01	
0.38177   	2.29572e+00		         0.09000	1.90000e+01	
0.38841   	2.20965e+00		         0.09167	1.80000e+01	
0.39506   	2.08679e+00		         0.09333	1.70000e+01	
0.40170   	1.99970e+00		         0.09500	1.70000e+01	
0.40862   	1.86777e+00		         0.09667	1.60000e+01	
0.41526   	1.70633e+00		         0.09833	1.50000e+01	
0.42190   	1.51188e+00		         0.10000	1.40000e+01	
0.42855   	1.24062e+00		         0.10167	1.40000e+01	
0.43547   	8.36751e-01		         0.10333	1.30000e+01	
0.44211   	3.77819e-01		         0.10500	1.30000e+01	
0.44875   	-1.62781e-01		         0.10667	1.20000e+01	
0.45540   	-7.75132e-01		         0.10833	1.20000e+01	
0.46253   	-1.17817e+00		         0.11000	1.20000e+01	
0.46895   	-8.49949e-01		         0.11167	1.20000e+01	
0.47560   	-4.57901e-01		         0.11333	1.20000e+01	
0.48224   	8.96600e-02		         0.11500	1.20000e+01	
0.48916   	8.10316e-01		         0.11667	1.20000e+01	
0.49585   	1.52506e+00		         0.11833	1.30000e+01	
0.50244   	1.76813e+00		         0.12000	1.30000e+01	
0.50909   	2.10741e+00		         0.12167	1.30000e+01	
0.51600   	2.40506e+00		         0.12333	1.30000e+01	
0.52265   	2.71245e+00		         0.12500	1.20000e+01	
0.52929   	2.86604e+00		         0.12667	1.20000e+01	
0.53594   	2.88305e+00		         0.12833	1.20000e+01	
0.54285   	2.79004e+00		         0.13000	1.20000e+01	
0.54949   	2.67428e+00		         0.13167	1.10000e+01	
0.55614   	2.35782e+00		         0.13333	1.10000e+01	
0.56278   	1.81964e+00		         0.13500	1.00000e+01	
0.56970   	1.08087e+00		         0.13667	1.00000e+01	
0.57634   	1.37665e-01		         0.13833	1.00000e+01	
0.58298   	-7.88376e-01		         0.14000	9.00000e+00	
0.58963   	-1.51621e+00		         0.14167	9.00000e+00	
0.59654   	-2.10956e+00		         0.14333	9.00000e+00	
0.60319   	-2.43213e+00		         0.14500	9.00000e+00	
0.60983   	-2.51595e+00		         0.14667	9.00000e+00	
0.61647   	-2.59102e+00		         0.14833	9.00000e+00	
0.62339   	-2.74209e+00		         0.15000	9.00000e+00	
0.63003   	-2.72583e+00		         0.15167	9.00000e+00	
0.63667   	-2.78497e+00		         0.15333	9.00000e+00	
0.64332   	-2.79809e+00		         0.15500	8.00000e+00	
0.65024   	-2.77598e+00		         0.15667	8.00000e+00	
0.65688   	-2.67674e+00		         0.15833	8.00000e+00	
0.66352   	-2.63172e+00		         0.16000	8.00000e+00	
0.67017   	-2.49546e+00		         0.16167	7.00000e+00	
0.67708   	-2.37608e+00		         0.16333	6.00000e+00	
0.68373   	-2.30446e+00		         0.16500	6.00000e+00	
0.69037   	-2.27603e+00		         0.16667	5.00000e+00	
0.69701   	-2.16276e+00		         0.16833	5.00000e+00	
0.70393   	-2.09476e+00		         0.17000	5.00000e+00	
0.71057   	-2.03260e+00		         0.17167	4.00000e+00	
0.71722   	-1.91347e+00		         0.17333	4.00000e+00	
0.72386   	-1.75734e+00		         0.17500	4.00000e+00	
0.73077   	-1.60467e+00		         0.17667	4.00000e+00	
0.73742   	-1.38895e+00		         0.17833	4.00000e+00	
0.74406   	-1.16963e+00		         0.18000	4.00000e+00	
0.75070   	-9.59079e-01		         0.18167	4.00000e+00	
0.75762   	-7.91975e-01		         0.18333	4.00000e+00	
0.76426   	-6.54218e-01		         0.18500	4.00000e+00	
0.77091   	-6.15844e-01		         0.18667	4.00000e+00	
0.77755   	-5.60307e-01		         0.18833	4.00000e+00	
0.78447   	-5.30351e-01		         0.19000	4.00000e+00	
0.79111   	-4.97681e-01		         0.19167	3.00000e+00	
0.79775   	-4.53515e-01		         0.19333	3.00000e+00	
0.80440   	-4.02090e-01		         0.19500	2.00000e+00	
0.81131   	-3.61656e-01		         0.19667	2.00000e+00	
0.81796   	-3.34315e-01		         0.19833	1.00000e+00	
0.82460   	-3.28706e-01		         0.20000	1.00000e+00	
0.83124   	-3.49698e-01		         0.20167	0.00000e+00	
0.83816   	-3.49255e-01		         0.20333	0.00000e+00	
0.84489   	-3.61278e-01		         0.20500	0.00000e+00	
0.85144   	-3.59016e-01		         0.20667	0.00000e+00	
0.85809   	-3.59361e-01		         0.20833	0.00000e+00	
0.86501   	-3.72597e-01		         0.21000	0.00000e+00	
0.87165   	-4.06230e-01		         0.21167	0.00000e+00	
0.87829   	-4.16153e-01		         0.21333	1.00000e+00	
0.88494   	-4.38101e-01		         0.21500	1.00000e+00	
0.89185   	-4.49826e-01		         0.21667	1.00000e+00	
0.89849   	-4.51968e-01		         0.21833	1.00000e+00	
0.90514   	-4.38521e-01		         0.22000	2.00000e+00	
0.91178   	-4.37717e-01		         0.22167	2.00000e+00	
0.91870   	-4.10356e-01		         0.22333	2.00000e+00	
0.92534   	-4.05954e-01		         0.22500	2.00000e+00	
0.93199   	-3.85873e-01		         0.22667	1.00000e+00	
0.93863   	-3.87956e-01		         0.22833	1.00000e+00	
0.94554   	-3.95619e-01		         0.23000	1.00000e+00	
0.95219   	-4.03136e-01		         0.23167	0.00000e+00	
0.95883   	-3.95410e-01		         0.23333	0.00000e+00	
0.96547   	-3.81789e-01		         0.23500	0.00000e+00	
0.97239   	-3.81714e-01		         0.23667	-1.00000e+00	
0.97903   	-3.58291e-01		         0.23833	-1.00000e+00	
0.98568   	-3.51486e-01		         0.24000	-1.00000e+00	
0.99232   	-3.53202e-01		         0.24167	-2.00000e+00	
0.99924   	-4.00855e-01		         0.24333	-2.00000e+00	
1.00588   	-4.38715e-01		         0.24500	-2.00000e+00	
1.01252   	-5.40686e-01		         0.24667	-2.00000e+00	
1.01917   	-7.15450e-01		         0.24833	-2.00000e+00	
1.02608   	-1.11129e+00		         0.25000	-2.00000e+00	
1.03273   	-1.31925e+00		         0.25167	-2.00000e+00	
1.03937   	-1.60308e+00		         0.25333	-2.00000e+00	
1.04601   	-1.90575e+00		         0.25500	-2.00000e+00	
1.05293   	-2.87394e+00		         0.25667	-2.00000e+00	
1.05957   	-3.36647e+00		         0.25833	-2.00000e+00	
1.06622   	-4.33210e+00		         0.26000	-2.00000e+00	
1.07286   	-5.18746e+00		         0.26167	-2.00000e+00	
1.07977   	-6.13016e+00		         0.26333	-2.00000e+00	
1.08642   	-6.36946e+00		         0.26500	-2.00000e+00	
1.09306   	-6.79738e+00		         0.26667	-2.00000e+00	
1.09971   	-6.84177e+00		         0.26833	-2.00000e+00	
1.10662   	-6.81963e+00		         0.27000	-2.00000e+00	
1.11326   	-6.51773e+00		         0.27167	-2.00000e+00	
1.11991   	-6.06120e+00		         0.27333	-2.00000e+00	
