Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.01849   	-7.77230e+00		         0.00000	-4.90000e+01	
0.02760   	-6.57760e+00		         0.00167	-4.80000e+01	
0.03671   	-4.53575e+00		         0.00333	-4.80000e+01	
0.04610   	-2.44570e+00		         0.00500	-4.80000e+01	
0.05519   	-4.57588e-01		         0.00667	-4.90000e+01	
0.06429   	2.17236e+00		         0.00833	-4.90000e+01	
0.07340   	4.77304e+00		         0.01000	-4.90000e+01	
0.08317   	5.05730e+00		         0.01167	-4.80000e+01	
0.09188   	3.79193e+00		         0.01333	-4.50000e+01	
0.10098   	1.85213e+00		         0.01500	-4.10000e+01	
0.11008   	1.22151e+00		         0.01667	-3.50000e+01	
0.11949   	1.37672e+00		         0.01833	-2.70000e+01	
0.12857   	2.28840e+00		         0.02000	-1.50000e+01	
0.13767   	3.87341e+00		         0.02167	-1.00000e+00	
0.14677   	5.17704e+00		         0.02333	1.70000e+01	
0.15616   	5.45851e+00		         0.02500	3.80000e+01	
0.16525   	5.35914e+00		         0.02667	6.30000e+01	
0.17436   	5.07244e+00		         0.02833	9.10000e+01	
0.18346   	4.99603e+00		         0.03000	1.23000e+02	
0.19287   	4.92285e+00		         0.03167	1.57000e+02	
0.20194   	5.02375e+00		         0.03333	1.93000e+02	
0.21105   	4.99168e+00		         0.03500	2.31000e+02	
0.22016   	4.95573e+00		         0.03667	2.69000e+02	
0.22954   	4.88951e+00		         0.03833	3.07000e+02	
0.23864   	4.85940e+00		         0.04000	3.43000e+02	
0.24775   	4.82473e+00		         0.04167	3.75000e+02	
0.25685   	4.72649e+00		         0.04333	4.04000e+02	
0.26625   	4.51980e+00		         0.04500	4.26000e+02	
0.27533   	4.22149e+00		         0.04667	4.42000e+02	
0.28443   	3.82434e+00		         0.04833	4.50000e+02	
0.29354   	3.44655e+00		         0.05000	4.49000e+02	
0.30294   	3.13337e+00		         0.05167	4.39000e+02	
0.31202   	2.93390e+00		         0.05333	4.21000e+02	
0.32112   	2.82952e+00		         0.05500	3.94000e+02	
0.33022   	2.72146e+00		         0.05667	3.59000e+02	
0.33962   	2.54739e+00		         0.05833	3.17000e+02	
0.34873   	2.28268e+00		         0.06000	2.71000e+02	
0.35781   	1.96724e+00		         0.06167	2.21000e+02	
0.36692   	1.62881e+00		         0.06333	1.69000e+02	
