Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.00865   	2.26200e+00		         0.00000	1.66000e+02	
0.01779   	2.70181e+00		         0.00167	1.78000e+02	
0.02692   	2.91539e+00		         0.00333	1.89000e+02	
0.03606   	1.65740e+00		         0.00500	1.97000e+02	
0.04568   	8.45313e-01		         0.00667	2.01000e+02	
0.05461   	4.41451e-01		         0.00833	2.02000e+02	
0.06374   	8.78219e-01		         0.01000	1.99000e+02	
0.07288   	6.77669e-01		         0.01167	1.91000e+02	
0.08232   	7.16077e-01		         0.01333	1.78000e+02	
0.09143   	1.35637e+00		         0.01500	1.60000e+02	
0.10057   	2.19937e+00		         0.01667	1.36000e+02	
0.10970   	2.91663e+00		         0.01833	1.09000e+02	
0.11914   	3.39226e+00		         0.02000	7.70000e+01	
0.12825   	3.53812e+00		         0.02167	4.40000e+01	
0.13739   	3.53553e+00		         0.02333	8.00000e+00	
0.14653   	3.44680e+00		         0.02500	-2.70000e+01	
0.15595   	3.46497e+00		         0.02667	-6.20000e+01	
0.16507   	3.63985e+00		         0.02833	-9.50000e+01	
0.17421   	3.80245e+00		         0.03000	-1.24000e+02	
0.18335   	3.91589e+00		         0.03167	-1.49000e+02	
0.19276   	3.95603e+00		         0.03333	-1.70000e+02	
0.20189   	3.92918e+00		         0.03500	-1.84000e+02	
0.21103   	3.92072e+00		         0.03667	-1.93000e+02	
0.22017   	3.85116e+00		         0.03833	-1.96000e+02	
0.22960   	3.80263e+00		         0.04000	-1.94000e+02	
0.23872   	3.72560e+00		         0.04167	-1.87000e+02	
0.24785   	3.62543e+00		         0.04333	-1.77000e+02	
0.25699   	3.51862e+00		         0.04500	-1.64000e+02	
0.26641   	3.38368e+00		         0.04667	-1.49000e+02	
0.27554   	3.27467e+00		         0.04833	-1.33000e+02	
0.28468   	3.17669e+00		         0.05000	-1.15000e+02	
0.29381   	3.09016e+00		         0.05167	-9.80000e+01	
0.30325   	2.98190e+00		         0.05333	-8.10000e+01	
0.31236   	2.87173e+00		         0.05500	-6.40000e+01	
0.32150   	2.78459e+00		         0.05667	-5.00000e+01	
0.33064   	2.62951e+00		         0.05833	-3.70000e+01	
0.34006   	2.46608e+00		         0.06000	-2.60000e+01	
0.34918   	2.28480e+00		         0.06167	-1.70000e+01	
0.35832   	2.12016e+00		         0.06333	-1.10000e+01	
0.36746   	1.87092e+00		         0.06500	-6.00000e+00	
0.37689   	1.57703e+00		         0.06667	-2.00000e+00	
0.38601   	1.23508e+00		         0.06833	0.00000e+00	
0.39514   	7.06519e-01		         0.07000	1.00000e+00	
0.40428   	-1.34447e-02		         0.07167	2.00000e+00	
0.41370   	-7.94813e-01		         0.07333	2.00000e+00	
0.42283   	-1.33036e+00		         0.07500	2.00000e+00	
0.43196   	-1.29514e+00		         0.07667	3.00000e+00	
0.44110   	-8.33409e-01		         0.07833	3.00000e+00	
0.45054   	-1.88533e-01		         0.08000	4.00000e+00	
0.45965   	2.25630e-01		         0.08167	5.00000e+00	
0.46879   	4.57789e-01		         0.08333	7.00000e+00	
0.47792   	5.12193e-01		         0.08500	9.00000e+00	
0.48734   	5.90057e-01		         0.08667	1.10000e+01	
0.49647   	5.16905e-01		         0.08833	1.30000e+01	
0.50561   	4.11089e-01		         0.09000	1.50000e+01	
0.51475   	1.40692e-01		         0.09167	1.70000e+01	
0.52417   	-1.16277e-01		         0.09333	1.80000e+01	
0.53329   	-1.07826e+00		         0.09500	1.90000e+01	
0.54243   	-2.43119e+00		         0.09667	2.00000e+01	
0.55157   	-3.94148e+00		         0.09833	2.00000e+01	
0.56099   	-4.67824e+00		         0.10000	1.90000e+01	
0.57012   	-4.81443e+00		         0.10167	1.80000e+01	
0.57925   	-4.50613e+00		         0.10333	1.70000e+01	
0.58839   	-4.01472e+00		         0.10500	1.50000e+01	
0.59781   	-3.38463e+00		         0.10667	1.30000e+01	
0.60694   	-2.78685e+00		         0.10833	1.10000e+01	
0.61607   	-2.20854e+00		         0.11000	9.00000e+00	
0.62521   	-1.89664e+00		         0.11167	7.00000e+00	
0.63465   	-1.76566e+00		         0.11333	5.00000e+00	
0.64376   	-1.92783e+00		         0.11500	4.00000e+00	
0.65290   	-2.25589e+00		         0.11667	4.00000e+00	
0.66204   	-2.88652e+00		         0.11833	4.00000e+00	
0.67147   	-3.66859e+00		         0.12000	4.00000e+00	
0.68059   	-4.82394e+00		         0.12167	5.00000e+00	
0.68972   	-6.02532e+00		         0.12333	6.00000e+00	
0.69886   	-7.27799e+00		         0.12500	7.00000e+00	
0.70827   	-7.96186e+00		         0.12667	8.00000e+00	
0.71740   	-8.23936e+00		         0.12833	1.00000e+01	
0.72654   	-7.95805e+00		         0.13000	1.10000e+01	
0.73568   	-7.36511e+00		         0.13167	1.20000e+01	
0.74511   	-6.36906e+00		         0.13333	1.40000e+01	
0.75423   	-5.10305e+00		         0.13500	1.50000e+01	
0.76337   	-3.83986e+00		         0.13667	1.50000e+01	
0.77250   	-2.72634e+00		         0.13833	1.60000e+01	
0.78192   	-2.07029e+00		         0.14000	1.70000e+01	
0.79105   	-1.71450e+00		         0.14167	1.70000e+01	
0.80019   	-1.35927e+00		         0.14333	1.80000e+01	
0.80945   	-7.02941e-01		         0.14500	1.80000e+01	
0.81875   	5.58416e-01		         0.14667	1.80000e+01	
0.82787   	1.86727e+00		         0.14833	1.90000e+01	
0.83701   	2.95249e+00		         0.15000	1.90000e+01	
0.84615   	2.62389e+00		         0.15167	1.90000e+01	
0.85558   	1.32588e+00		         0.15333	1.90000e+01	
0.86469   	7.58709e-01		         0.15500	1.90000e+01	
0.87383   	6.55848e-01		         0.15667	1.80000e+01	
0.88297   	9.14770e-01		         0.15833	1.70000e+01	
0.89257   	4.97526e-01		         0.16000	1.70000e+01	
0.90151   	7.50637e-01		         0.16167	1.60000e+01	
0.91065   	1.64737e+00		         0.16333	1.50000e+01	
0.91979   	2.55603e+00		         0.16500	1.40000e+01	
0.92921   	3.20773e+00		         0.16667	1.30000e+01	
0.93834   	3.52928e+00		         0.16833	1.20000e+01	
0.94748   	3.62279e+00		         0.17000	1.20000e+01	
0.95661   	3.58879e+00		         0.17167	1.10000e+01	
0.96605   	3.57613e+00		         0.17333	1.00000e+01	
0.97516   	3.67384e+00		         0.17500	9.00000e+00	
0.98430   	3.80556e+00		         0.17667	1.00000e+01	
0.99344   	3.85625e+00		         0.17833	1.00000e+01	
1.00287   	3.87619e+00		         0.18000	1.10000e+01	
1.01198   	3.86322e+00		         0.18167	1.30000e+01	
1.02112   	3.86259e+00		         0.18333	1.40000e+01	
1.03026   	3.80944e+00		         0.18500	1.60000e+01	
1.03968   	3.75522e+00		         0.18667	1.80000e+01	
1.04880   	3.67425e+00		         0.18833	2.00000e+01	
1.05794   	3.61762e+00		         0.19000	2.20000e+01	
1.06708   	3.54285e+00		         0.19167	2.40000e+01	
1.07650   	3.49073e+00		         0.19333	2.60000e+01	
1.08562   	3.43255e+00		         0.19500	2.80000e+01	
1.09476   	3.37915e+00		         0.19667	3.00000e+01	
1.10390   	3.26201e+00		         0.19833	3.10000e+01	
1.11334   	3.17031e+00		         0.20000	3.20000e+01	
1.12245   	3.05814e+00		         0.20167	3.20000e+01	
1.13158   	2.92759e+00		         0.20333	3.30000e+01	
1.14072   	2.75556e+00		         0.20500	3.30000e+01	
1.15016   	2.57922e+00		         0.20667	3.30000e+01	
1.15927   	2.47329e+00		         0.20833	3.30000e+01	
1.16840   	2.34760e+00		         0.21000	3.30000e+01	
1.17755   	2.16898e+00		         0.21167	3.30000e+01	
1.18697   	1.93166e+00		         0.21333	3.40000e+01	
1.19609   	1.60407e+00		         0.21500	3.40000e+01	
1.20523   	1.25119e+00		         0.21667	3.40000e+01	
1.21437   	8.06535e-01		         0.21833	3.40000e+01	
1.22379   	2.27306e-01		         0.22000	3.50000e+01	
1.23291   	-4.01837e-01		         0.22167	3.60000e+01	
1.24205   	-7.85342e-01		         0.22333	3.70000e+01	
1.25119   	-5.07276e-01		         0.22500	3.80000e+01	
1.26061   	2.62640e-02		         0.22667	3.90000e+01	
1.26974   	5.59336e-01		         0.22833	3.90000e+01	
1.27887   	8.37354e-01		         0.23000	4.00000e+01	
1.28801   	1.04958e+00		         0.23167	4.10000e+01	
1.29744   	1.20425e+00		         0.23333	4.10000e+01	
1.30656   	1.18226e+00		         0.23500	4.20000e+01	
1.31570   	1.16817e+00		         0.23667	4.20000e+01	
1.32483   	1.08006e+00		         0.23833	4.10000e+01	
1.33425   	6.46440e-01		         0.24000	4.00000e+01	
1.34338   	-6.42969e-02		         0.24167	3.90000e+01	
1.35252   	-1.36240e+00		         0.24333	3.80000e+01	
1.36166   	-2.76151e+00		         0.24500	3.70000e+01	
1.37107   	-4.07366e+00		         0.24667	3.60000e+01	
1.38020   	-4.77292e+00		         0.24833	3.50000e+01	
1.38934   	-4.70909e+00		         0.25000	3.50000e+01	
1.39848   	-4.25173e+00		         0.25167	3.50000e+01	
1.40791   	-3.50052e+00		         0.25333	3.60000e+01	
1.41702   	-2.80746e+00		         0.25500	3.60000e+01	
1.42616   	-2.10717e+00		         0.25667	3.70000e+01	
1.43530   	-1.59876e+00		         0.25833	3.90000e+01	
1.44474   	-1.27078e+00		         0.26000	4.00000e+01	
1.45384   	-1.22144e+00		         0.26167	4.10000e+01	
1.46299   	-1.34854e+00		         0.26333	4.10000e+01	
1.47212   	-1.81501e+00		         0.26500	4.10000e+01	
1.48154   	-2.48304e+00		         0.26667	4.00000e+01	
1.49067   	-3.57602e+00		         0.26833	3.90000e+01	
1.49981   	-4.81470e+00		         0.27000	3.60000e+01	
1.50894   	-6.25677e+00		         0.27167	3.20000e+01	
1.51836   	-7.37394e+00		         0.27333	2.80000e+01	
1.52749   	-8.18892e+00		         0.27500	2.30000e+01	
1.53663   	-8.20320e+00		         0.27667	1.80000e+01	
1.54577   	-7.86755e+00		         0.27833	1.30000e+01	
1.55518   	-6.94850e+00		         0.28000	9.00000e+00	
1.56431   	-5.85112e+00		         0.28167	4.00000e+00	
1.57345   	-4.40181e+00		         0.28333	0.00000e+00	
1.58259   	-3.03428e+00		         0.28500	-3.00000e+00	
1.59202   	-2.13572e+00		         0.28667	-6.00000e+00	
1.60114   	-1.58798e+00		         0.28833	-8.00000e+00	
1.61028   	-1.27916e+00		         0.29000	-1.00000e+01	
1.61942   	-7.61140e-01		         0.29167	-1.10000e+01	
1.62884   	1.28260e-01		         0.29333	-1.20000e+01	
1.63796   	1.30657e+00		         0.29500	-1.20000e+01	
1.64710   	2.34319e+00		         0.29667	-1.30000e+01	
1.65623   	2.48263e+00		         0.29833	-1.40000e+01	
1.66566   	1.15704e+00		         0.30000	-1.60000e+01	
1.67478   	4.03602e-01		         0.30167	-1.70000e+01	
1.68392   	-1.85469e-02		         0.30333	-1.90000e+01	
1.69306   	2.81683e-01		         0.30500	-2.20000e+01	
1.70248   	1.82061e-02		         0.30667	-2.40000e+01	
1.71160   	2.17242e-01		         0.30833	-2.70000e+01	
1.72074   	1.09809e+00		         0.31000	-3.00000e+01	
1.72988   	2.04737e+00		         0.31167	-3.30000e+01	
1.73929   	2.66872e+00		         0.31333	-3.60000e+01	
1.74842   	3.01674e+00		         0.31500	-3.90000e+01	
1.75756   	3.21656e+00		         0.31667	-4.10000e+01	
