Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00050   	-2.29655e+01	-4.01648e+01	-3.93262e+01		         0.00000	-5.40000e+01	
0.01855   	-2.25421e+01	-4.07868e+01	-3.84071e+01		         0.00167	-6.60000e+01	
0.03661   	-2.54048e+01	-3.81378e+01	-3.85516e+01		         0.00333	-7.70000e+01	
0.05467   	-2.55952e+01	-3.67012e+01	-3.75890e+01		         0.00500	-8.70000e+01	
0.07273   	-2.55141e+01	-3.65105e+01	-3.85564e+01		         0.00667	-9.50000e+01	
0.09079   	-2.43579e+01	-3.50067e+01	-3.55478e+01		         0.00833	-1.00000e+02	
0.10884   	-2.38641e+01	-3.44677e+01	-3.49920e+01		         0.01000	-1.03000e+02	
0.12690   	-2.39039e+01	-3.42420e+01	-3.47160e+01		         0.01167	-1.03000e+02	
0.14496   	-2.32971e+01	-3.46912e+01	-3.48534e+01		         0.01333	-1.01000e+02	
0.16302   	-2.29162e+01	-3.70266e+01	-3.16727e+01		         0.01500	-9.60000e+01	
0.18108   	-2.33740e+01	-3.52664e+01	-3.43384e+01		         0.01667	-8.90000e+01	
0.19913   	-2.33390e+01	-3.74903e+01	-3.07544e+01		         0.01833	-8.10000e+01	
0.21720   	-2.39993e+01	-3.87400e+01	-3.12477e+01		         0.02000	-7.10000e+01	
0.23525   	-2.56231e+01	-4.21898e+01	-2.94792e+01		         0.02167	-6.10000e+01	
0.25331   	-2.67244e+01	-4.50762e+01	-3.14515e+01		         0.02333	-5.10000e+01	
0.27137   	-2.72913e+01	-4.74332e+01	-2.96246e+01		         0.02500	-4.10000e+01	
0.28943   	-2.77321e+01	-4.83610e+01	-3.14011e+01		         0.02667	-3.20000e+01	
0.30748   	-2.80876e+01	-5.04790e+01	-3.08302e+01		         0.02833	-2.30000e+01	
0.32554   	-2.81513e+01	-5.13752e+01	-3.03164e+01		         0.03000	-1.50000e+01	
0.34360   	-2.83305e+01	-5.37472e+01	-3.02827e+01		         0.03167	-8.00000e+00	
0.36167   	-2.80605e+01	-5.30723e+01	-2.98933e+01		         0.03333	-2.00000e+00	
0.37972   	-2.75065e+01	-5.30792e+01	-2.65115e+01		         0.03500	3.00000e+00	
0.39778   	-2.78769e+01	-5.06132e+01	-2.59742e+01		         0.03667	6.00000e+00	
0.41583   	-2.78781e+01	-5.15686e+01	-2.74750e+01		         0.03833	9.00000e+00	
0.43389   	-2.66499e+01	-5.07222e+01	-2.79321e+01		         0.04000	1.10000e+01	
0.45195   	-2.62583e+01	-5.13321e+01	-2.84011e+01		         0.04167	1.20000e+01	
0.47001   	-2.64035e+01	-5.20989e+01	-2.90540e+01		         0.04333	1.30000e+01	
0.48807   	-2.66514e+01	-5.02170e+01	-2.75075e+01		         0.04500	1.30000e+01	
0.50612   	-2.57754e+01	-4.60443e+01	-2.89817e+01		         0.04667	1.30000e+01	
0.52418   	-2.54171e+01	-4.15272e+01	-3.03337e+01		         0.04833	1.30000e+01	
0.54224   	-2.47448e+01	-3.99912e+01	-3.16885e+01		         0.05000	1.30000e+01	
0.56030   	-2.36321e+01	-3.48292e+01	-3.07303e+01		         0.05167	1.20000e+01	
0.57836   	-2.35541e+01	-3.26809e+01	-3.28901e+01		         0.05333	1.20000e+01	
0.59642   	-2.35573e+01	-3.42636e+01	-3.16343e+01		         0.05500	1.20000e+01	
0.61447   	-2.35393e+01	-3.46327e+01	-3.13957e+01		         0.05667	1.10000e+01	
0.63253   	-2.32903e+01	-3.52056e+01	-3.04681e+01		         0.05833	1.10000e+01	
