Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.01700   	-2.71911e+00		         0.00000	-3.00000e+01	
0.02310   	-1.90935e+00		         0.00167	-2.80000e+01	
0.02948   	-1.24535e+00		         0.00333	-2.70000e+01	
0.03558   	-1.68342e-02		         0.00500	-2.50000e+01	
0.04169   	1.01598e+00		         0.00667	-2.40000e+01	
0.04779   	1.54348e+00		         0.00833	-2.30000e+01	
0.05417   	9.78646e-01		         0.01000	-2.20000e+01	
0.06027   	3.36322e-01		         0.01167	-2.00000e+01	
0.06638   	-1.69863e-01		         0.01333	-1.70000e+01	
0.07248   	-7.50478e-01		         0.01500	-1.20000e+01	
0.07886   	-1.06074e+00		         0.01667	-5.00000e+00	
0.08496   	-5.11434e-01		         0.01833	5.00000e+00	
0.09107   	1.02876e-01		         0.02000	1.80000e+01	
0.09717   	9.75370e-01		         0.02167	3.30000e+01	
0.10355   	2.14875e+00		         0.02333	5.10000e+01	
0.10966   	3.47455e+00		         0.02500	7.00000e+01	
0.11576   	4.62328e+00		         0.02667	9.10000e+01	
0.12186   	5.57210e+00		         0.02833	1.11000e+02	
0.12824   	5.99323e+00		         0.03000	1.30000e+02	
0.13434   	6.14628e+00		         0.03167	1.47000e+02	
0.14044   	6.11367e+00		         0.03333	1.61000e+02	
0.14655   	6.06717e+00		         0.03500	1.71000e+02	
0.15293   	6.04181e+00		         0.03667	1.75000e+02	
0.15903   	5.96097e+00		         0.03833	1.74000e+02	
0.16518   	5.86573e+00		         0.04000	1.68000e+02	
0.17124   	5.74409e+00		         0.04167	1.57000e+02	
0.17762   	5.67819e+00		         0.04333	1.40000e+02	
0.18372   	5.57006e+00		         0.04500	1.20000e+02	
0.18983   	5.47960e+00		         0.04667	9.70000e+01	
0.19593   	5.41260e+00		         0.04833	7.20000e+01	
0.20231   	5.37404e+00		         0.05000	4.70000e+01	
0.20841   	5.34300e+00		         0.05167	2.30000e+01	
0.21491   	5.35216e+00		         0.05333	1.00000e+00	
0.22062   	5.37719e+00		         0.05500	-1.80000e+01	
0.22700   	5.36801e+00		         0.05667	-3.30000e+01	
0.23310   	5.37666e+00		         0.05833	-4.60000e+01	
0.23921   	5.33475e+00		         0.06000	-5.50000e+01	
0.24531   	5.28707e+00		         0.06167	-6.20000e+01	
0.25169   	5.23421e+00		         0.06333	-6.60000e+01	
0.25780   	5.16782e+00		         0.06500	-6.70000e+01	
0.26390   	5.06065e+00		         0.06667	-6.70000e+01	
0.27000   	4.92502e+00		         0.06833	-6.50000e+01	
0.27638   	4.78924e+00		         0.07000	-6.20000e+01	
0.28248   	4.66567e+00		         0.07167	-5.90000e+01	
0.28859   	4.55641e+00		         0.07333	-5.60000e+01	
0.29469   	4.45336e+00		         0.07500	-5.30000e+01	
0.30107   	4.36434e+00		         0.07667	-5.10000e+01	
0.30718   	4.28968e+00		         0.07833	-4.90000e+01	
0.31328   	4.19168e+00		         0.08000	-4.70000e+01	
0.31938   	4.04165e+00		         0.08167	-4.60000e+01	
0.32576   	3.94383e+00		         0.08333	-4.50000e+01	
0.33186   	3.82533e+00		         0.08500	-4.50000e+01	
0.33797   	3.66345e+00		         0.08667	-4.50000e+01	
0.34407   	3.48775e+00		         0.08833	-4.40000e+01	
0.35045   	3.38046e+00		         0.09000	-4.40000e+01	
0.35656   	3.19347e+00		         0.09167	-4.40000e+01	
0.36266   	3.02502e+00		         0.09333	-4.40000e+01	
0.36877   	2.85962e+00		         0.09500	-4.40000e+01	
0.37514   	2.68859e+00		         0.09667	-4.40000e+01	
0.38131   	2.45455e+00		         0.09833	-4.30000e+01	
0.38735   	2.20460e+00		         0.10000	-4.30000e+01	
0.39346   	1.87861e+00		         0.10167	-4.20000e+01	
0.39983   	1.39358e+00		         0.10333	-4.10000e+01	
0.40593   	7.67078e-01		         0.10500	-4.00000e+01	
0.41204   	-8.72408e-02		         0.10667	-3.90000e+01	
0.41814   	-1.13237e+00		         0.10833	-3.80000e+01	
0.42452   	-2.04383e+00		         0.11000	-3.60000e+01	
0.43075   	-2.39229e+00		         0.11167	-3.50000e+01	
0.43673   	-2.61979e+00		         0.11333	-3.40000e+01	
0.44284   	-2.47732e+00		         0.11500	-3.30000e+01	
0.44921   	-2.21469e+00		         0.11667	-3.20000e+01	
0.45531   	-1.93357e+00		         0.11833	-3.10000e+01	
0.46142   	-1.78618e+00		         0.12000	-3.00000e+01	
0.46752   	-1.40469e+00		         0.12167	-3.00000e+01	
0.47390   	-9.25154e-01		         0.12333	-2.90000e+01	
0.48000   	-1.77043e-01		         0.12500	-2.90000e+01	
0.48611   	6.29563e-01		         0.12667	-2.90000e+01	
0.49222   	1.36609e+00		         0.12833	-2.90000e+01	
0.49859   	2.07830e+00		         0.13000	-2.80000e+01	
0.50470   	1.91478e+00		         0.13167	-2.80000e+01	
0.51080   	1.92582e+00		         0.13333	-2.70000e+01	
0.51690   	1.47549e+00		         0.13500	-2.60000e+01	
0.52328   	5.60415e-01		         0.13667	-2.50000e+01	
0.52938   	-8.06155e-01		         0.13833	-2.30000e+01	
0.53549   	-1.69168e+00		         0.14000	-2.20000e+01	
0.54160   	-3.05701e+00		         0.14167	-2.00000e+01	
0.54797   	-4.27846e+00		         0.14333	-1.80000e+01	
0.55408   	-5.27555e+00		         0.14500	-1.70000e+01	
0.56018   	-5.78919e+00		         0.14667	-1.60000e+01	
0.56628   	-6.13878e+00		         0.14833	-1.50000e+01	
0.57266   	-6.38546e+00		         0.15000	-1.40000e+01	
0.57876   	-6.36930e+00		         0.15167	-1.40000e+01	
0.58487   	-6.22660e+00		         0.15333	-1.40000e+01	
0.59097   	-6.17758e+00		         0.15500	-1.40000e+01	
0.59735   	-5.94248e+00		         0.15667	-1.40000e+01	
0.60346   	-5.56422e+00		         0.15833	-1.40000e+01	
0.60956   	-5.13118e+00		         0.16000	-1.50000e+01	
0.61566   	-4.68649e+00		         0.16167	-1.50000e+01	
0.62204   	-4.24309e+00		         0.16333	-1.50000e+01	
0.62814   	-3.84002e+00		         0.16500	-1.50000e+01	
0.63425   	-3.37755e+00		         0.16667	-1.40000e+01	
0.64036   	-2.92203e+00		         0.16833	-1.40000e+01	
0.64673   	-2.45419e+00		         0.17000	-1.20000e+01	
0.65284   	-2.03694e+00		         0.17167	-1.10000e+01	
0.65895   	-1.65178e+00		         0.17333	-1.00000e+01	
0.66504   	-1.38676e+00		         0.17500	-8.00000e+00	
0.67142   	-1.24114e+00		         0.17667	-7.00000e+00	
0.67752   	-1.16962e+00		         0.17833	-6.00000e+00	
0.68363   	-1.15660e+00		         0.18000	-5.00000e+00	
0.68974   	-1.19578e+00		         0.18167	-3.00000e+00	
0.69630   	-1.18035e+00		         0.18333	-3.00000e+00	
0.70222   	-1.17655e+00		         0.18500	-2.00000e+00	
