Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.00779   	-3.11980e+00		         0.00000	2.90000e+01	
0.01714   	-2.05468e+00		         0.00167	3.70000e+01	
0.02652   	-5.36379e-01		         0.00333	4.60000e+01	
0.03589   	-1.95002e-01		         0.00500	5.70000e+01	
0.04528   	4.81608e-01		         0.00667	6.80000e+01	
0.05464   	1.51974e+00		         0.00833	8.10000e+01	
0.06402   	1.02683e+00		         0.01000	9.50000e+01	
0.07339   	-7.67186e-01		         0.01167	1.10000e+02	
0.08279   	-2.03713e+00		         0.01333	1.25000e+02	
0.09217   	-1.26224e+00		         0.01500	1.40000e+02	
0.10152   	3.74960e-01		         0.01667	1.55000e+02	
0.11089   	1.63367e+00		         0.01833	1.68000e+02	
0.12029   	3.03596e+00		         0.02000	1.79000e+02	
0.12964   	4.09823e+00		         0.02167	1.87000e+02	
0.13901   	4.57740e+00		         0.02333	1.93000e+02	
0.14839   	4.65732e+00		         0.02500	1.95000e+02	
0.15778   	4.57367e+00		         0.02667	1.92000e+02	
0.16714   	4.62391e+00		         0.02833	1.86000e+02	
0.17651   	4.66622e+00		         0.03000	1.75000e+02	
0.18589   	4.72345e+00		         0.03167	1.59000e+02	
0.19528   	4.70115e+00		         0.03333	1.39000e+02	
0.20464   	4.75125e+00		         0.03500	1.16000e+02	
0.21401   	4.79998e+00		         0.03667	9.00000e+01	
0.22338   	4.82991e+00		         0.03833	6.40000e+01	
0.23277   	4.90351e+00		         0.04000	3.60000e+01	
0.24214   	4.82222e+00		         0.04167	1.00000e+01	
0.25151   	4.67759e+00		         0.04333	-1.60000e+01	
0.26089   	4.43634e+00		         0.04500	-3.90000e+01	
0.27028   	4.21601e+00		         0.04667	-5.90000e+01	
0.27964   	3.95861e+00		         0.04833	-7.70000e+01	
0.28901   	3.65250e+00		         0.05000	-9.10000e+01	
0.29839   	3.29397e+00		         0.05167	-1.01000e+02	
0.30777   	3.03008e+00		         0.05333	-1.08000e+02	
0.31714   	2.75128e+00		         0.05500	-1.11000e+02	
0.32651   	2.50524e+00		         0.05667	-1.12000e+02	
0.33588   	2.18229e+00		         0.05833	-1.11000e+02	
0.34527   	1.82575e+00		         0.06000	-1.08000e+02	
0.35463   	1.35230e+00		         0.06167	-1.03000e+02	
0.36401   	6.06611e-01		         0.06333	-9.80000e+01	
0.37338   	-1.00631e-01		         0.06500	-9.20000e+01	
0.38277   	6.27869e-03		         0.06667	-8.60000e+01	
0.39213   	7.25782e-01		         0.06833	-8.00000e+01	
0.40151   	1.13013e+00		         0.07000	-7.30000e+01	
0.41088   	1.13395e+00		         0.07167	-6.70000e+01	
0.42027   	8.67578e-01		         0.07333	-6.10000e+01	
0.42963   	1.10018e+00		         0.07500	-5.50000e+01	
0.43900   	1.27523e+00		         0.07667	-5.00000e+01	
0.44838   	1.38012e+00		         0.07833	-4.50000e+01	
0.45777   	1.92760e+00		         0.08000	-4.00000e+01	
0.46713   	1.94617e+00		         0.08167	-3.60000e+01	
0.47650   	1.90411e+00		         0.08333	-3.20000e+01	
