Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.01773   	-9.59962e-02		         0.00000	9.10000e+01	
0.02383   	7.08078e-02		         0.00167	1.15000e+02	
0.03021   	4.08552e-01		         0.00333	1.40000e+02	
0.03631   	9.86451e-01		         0.00500	1.68000e+02	
0.04242   	1.45289e+00		         0.00667	1.97000e+02	
0.04852   	1.46912e+00		         0.00833	2.27000e+02	
0.05490   	1.02880e+00		         0.01000	2.56000e+02	
0.06100   	5.61707e-01		         0.01167	2.84000e+02	
0.06710   	4.85977e-01		         0.01333	3.09000e+02	
0.07321   	5.22856e-01		         0.01500	3.29000e+02	
0.07958   	7.10233e-01		         0.01667	3.43000e+02	
0.08569   	1.18284e+00		         0.01833	3.50000e+02	
0.09179   	2.01130e+00		         0.02000	3.49000e+02	
0.09789   	2.88527e+00		         0.02167	3.40000e+02	
0.10427   	3.47660e+00		         0.02333	3.24000e+02	
0.11037   	3.90611e+00		         0.02500	3.00000e+02	
0.11648   	4.06989e+00		         0.02667	2.69000e+02	
0.12258   	4.17434e+00		         0.02833	2.32000e+02	
0.12896   	4.03947e+00		         0.03000	1.91000e+02	
0.13506   	3.95888e+00		         0.03167	1.48000e+02	
0.14117   	3.75444e+00		         0.03333	1.04000e+02	
0.14727   	3.66532e+00		         0.03500	6.10000e+01	
0.15365   	3.50406e+00		         0.03667	2.00000e+01	
0.15975   	3.35202e+00		         0.03833	-1.80000e+01	
0.16585   	3.21788e+00		         0.04000	-5.10000e+01	
0.17196   	2.94143e+00		         0.04167	-8.00000e+01	
0.17833   	2.93115e+00		         0.04333	-1.03000e+02	
0.18444   	2.86085e+00		         0.04500	-1.21000e+02	
0.19055   	3.10028e+00		         0.04667	-1.34000e+02	
0.19669   	3.22224e+00		         0.04833	-1.43000e+02	
0.20302   	3.33445e+00		         0.05000	-1.48000e+02	
0.20912   	3.34901e+00		         0.05167	-1.50000e+02	
0.21523   	3.19806e+00		         0.05333	-1.50000e+02	
0.22133   	3.23915e+00		         0.05500	-1.48000e+02	
0.22771   	3.33544e+00		         0.05667	-1.45000e+02	
0.23381   	3.53594e+00		         0.05833	-1.40000e+02	
0.23992   	3.50939e+00		         0.06000	-1.35000e+02	
0.24602   	3.33499e+00		         0.06167	-1.29000e+02	
0.25240   	3.27585e+00		         0.06333	-1.23000e+02	
0.25850   	3.12686e+00		         0.06500	-1.16000e+02	
0.26460   	3.09836e+00		         0.06667	-1.09000e+02	
0.27071   	2.83591e+00		         0.06833	-1.02000e+02	
0.27708   	2.80849e+00		         0.07000	-9.50000e+01	
0.28319   	2.56844e+00		         0.07167	-8.80000e+01	
0.28929   	2.54239e+00		         0.07333	-8.20000e+01	
0.29539   	2.38986e+00		         0.07500	-7.60000e+01	
0.30177   	2.41495e+00		         0.07667	-7.10000e+01	
0.30787   	2.35998e+00		         0.07833	-6.70000e+01	
0.31398   	2.35967e+00		         0.08000	-6.40000e+01	
0.32008   	2.31300e+00		         0.08167	-6.10000e+01	
0.32646   	2.22184e+00		         0.08333	-5.90000e+01	
0.33256   	2.10658e+00		         0.08500	-5.70000e+01	
0.33867   	1.87780e+00		         0.08667	-5.60000e+01	
0.34477   	1.66128e+00		         0.08833	-5.60000e+01	
0.35115   	1.49497e+00		         0.09000	-5.50000e+01	
0.35725   	1.49007e+00		         0.09167	-5.60000e+01	
0.36335   	1.39490e+00		         0.09333	-5.60000e+01	
0.36946   	1.26559e+00		         0.09500	-5.60000e+01	
0.37583   	1.07609e+00		         0.09667	-5.60000e+01	
0.38194   	8.69856e-01		         0.09833	-5.60000e+01	
0.38804   	6.66060e-01		         0.10000	-5.60000e+01	
0.39415   	3.85294e-01		         0.10167	-5.50000e+01	
0.40053   	1.16187e-01		         0.10333	-5.50000e+01	
0.40662   	-2.36403e-01		         0.10500	-5.40000e+01	
0.41273   	-7.57535e-01		         0.10667	-5.30000e+01	
0.41883   	-1.30561e+00		         0.10833	-5.20000e+01	
0.42521   	-1.24446e+00		         0.11000	-5.00000e+01	
0.43131   	-8.90114e-01		         0.11167	-4.90000e+01	
0.43742   	-4.46961e-01		         0.11333	-4.70000e+01	
0.44352   	-5.67878e-01		         0.11500	-4.50000e+01	
0.44990   	-7.24331e-01		         0.11667	-4.30000e+01	
0.45600   	-5.93505e-01		         0.11833	-4.10000e+01	
0.46226   	-4.99774e-01		         0.12000	-3.90000e+01	
0.46821   	-4.28202e-01		         0.12167	-3.80000e+01	
0.47458   	-6.35086e-01		         0.12333	-3.60000e+01	
0.48069   	-8.14391e-01		         0.12500	-3.40000e+01	
0.48679   	-6.08053e-01		         0.12667	-3.30000e+01	
0.49289   	-6.91111e-01		         0.12833	-3.10000e+01	
0.49927   	-6.93517e-01		         0.13000	-3.00000e+01	
0.50537   	-1.25292e+00		         0.13167	-2.90000e+01	
0.51148   	-1.28156e+00		         0.13333	-2.80000e+01	
0.51758   	-1.56115e+00		         0.13500	-2.80000e+01	
0.52396   	-1.72427e+00		         0.13667	-2.70000e+01	
0.53006   	-2.32350e+00		         0.13833	-2.70000e+01	
0.53617   	-2.88225e+00		         0.14000	-2.60000e+01	
0.54227   	-3.51474e+00		         0.14167	-2.60000e+01	
0.54864   	-3.97892e+00		         0.14333	-2.60000e+01	
0.55475   	-4.42720e+00		         0.14500	-2.60000e+01	
0.56085   	-4.88465e+00		         0.14667	-2.50000e+01	
0.56696   	-5.24479e+00		         0.14833	-2.50000e+01	
0.57333   	-5.35710e+00		         0.15000	-2.40000e+01	
0.57944   	-5.08081e+00		         0.15167	-2.30000e+01	
0.58554   	-4.92467e+00		         0.15333	-2.10000e+01	
0.59165   	-4.74497e+00		         0.15500	-2.00000e+01	
0.59802   	-4.49229e+00		         0.15667	-1.90000e+01	
0.60412   	-4.07385e+00		         0.15833	-1.70000e+01	
0.61023   	-3.55835e+00		         0.16000	-1.60000e+01	
0.61633   	-3.22047e+00		         0.16167	-1.50000e+01	
0.62271   	-2.78651e+00		         0.16333	-1.40000e+01	
0.62881   	-2.30606e+00		         0.16500	-1.30000e+01	
0.63492   	-1.93749e+00		         0.16667	-1.20000e+01	
0.64102   	-1.62906e+00		         0.16833	-1.20000e+01	
0.64739   	-1.46111e+00		         0.17000	-1.20000e+01	
0.65350   	-1.18053e+00		         0.17167	-1.20000e+01	
0.65960   	-1.01477e+00		         0.17333	-1.20000e+01	
0.66571   	-9.71153e-01		         0.17500	-1.20000e+01	
0.67208   	-9.41930e-01		         0.17667	-1.20000e+01	
0.67819   	-9.09702e-01		         0.17833	-1.20000e+01	
0.68429   	-8.28440e-01		         0.18000	-1.20000e+01	
0.69040   	-7.72048e-01		         0.18167	-1.10000e+01	
0.69677   	-7.27756e-01		         0.18333	-1.10000e+01	
0.70287   	-6.58197e-01		         0.18500	-1.00000e+01	
0.70898   	-6.90891e-01		         0.18667	-9.00000e+00	
0.71508   	-6.49852e-01		         0.18833	-8.00000e+00	
0.72146   	-6.02831e-01		         0.19000	-6.00000e+00	
0.72756   	-4.58948e-01		         0.19167	-4.00000e+00	
0.73367   	-3.90107e-01		         0.19333	-2.00000e+00	
0.73977   	-3.27167e-01		         0.19500	0.00000e+00	
0.74615   	-2.74541e-01		         0.19667	2.00000e+00	
0.75225   	-1.95073e-01		         0.19833	4.00000e+00	
0.75835   	-1.67586e-01		         0.20000	6.00000e+00	
0.76446   	-1.50931e-01		         0.20167	7.00000e+00	
0.77083   	-1.96525e-01		         0.20333	9.00000e+00	
0.77693   	-2.14537e-01		         0.20500	1.00000e+01	
0.78304   	-2.39842e-01		         0.20667	1.10000e+01	
0.78915   	-2.63946e-01		         0.20833	1.10000e+01	
0.79552   	-3.03077e-01		         0.21000	1.20000e+01	
0.80162   	-3.56433e-01		         0.21167	1.20000e+01	
0.80773   	-3.70193e-01		         0.21333	1.10000e+01	
0.81383   	-3.91391e-01		         0.21500	1.10000e+01	
0.82021   	-4.12892e-01		         0.21667	1.10000e+01	
0.82631   	-4.40886e-01		         0.21833	1.10000e+01	
0.83242   	-4.58569e-01		         0.22000	1.10000e+01	
0.83852   	-4.50066e-01		         0.22167	1.10000e+01	
0.84489   	-4.39523e-01		         0.22333	1.10000e+01	
0.85100   	-4.14034e-01		         0.22500	1.20000e+01	
0.85710   	-3.96481e-01		         0.22667	1.20000e+01	
0.86321   	-3.85783e-01		         0.22833	1.40000e+01	
0.86958   	-3.38487e-01		         0.23000	1.50000e+01	
