Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.01210   	-3.16104e+00		         0.00000	-1.00000e+01	
0.01820   	-2.98771e+00		         0.00167	-1.00000e+01	
0.02431   	-2.74333e+00		         0.00333	-9.00000e+00	
0.03069   	-2.23916e+00		         0.00500	-7.00000e+00	
0.03694   	-1.42954e+00		         0.00667	-4.00000e+00	
0.04289   	-3.30595e-01		         0.00833	2.00000e+00	
0.04900   	3.92539e-01		         0.01000	1.00000e+01	
0.05538   	1.90849e-01		         0.01167	2.10000e+01	
0.06148   	-5.21216e-01		         0.01333	3.50000e+01	
0.06758   	-1.25652e+00		         0.01500	5.10000e+01	
0.07369   	-2.03965e+00		         0.01667	7.00000e+01	
0.08007   	-2.37666e+00		         0.01833	9.00000e+01	
0.08617   	-1.64502e+00		         0.02000	1.12000e+02	
0.09228   	-3.84759e-01		         0.02167	1.36000e+02	
0.09838   	9.82664e-01		         0.02333	1.59000e+02	
0.10476   	2.31507e+00		         0.02500	1.82000e+02	
0.11086   	3.54915e+00		         0.02667	2.04000e+02	
0.11696   	4.54299e+00		         0.02833	2.23000e+02	
0.12307   	5.25286e+00		         0.03000	2.39000e+02	
0.12945   	5.65068e+00		         0.03167	2.50000e+02	
0.13582   	5.76894e+00		         0.03333	2.58000e+02	
0.14166   	5.72062e+00		         0.03500	2.60000e+02	
0.14776   	5.63060e+00		         0.03667	2.57000e+02	
0.15414   	5.52045e+00		         0.03833	2.50000e+02	
0.16024   	5.34575e+00		         0.04000	2.38000e+02	
0.16634   	5.17448e+00		         0.04167	2.22000e+02	
0.17245   	5.04397e+00		         0.04333	2.03000e+02	
0.17883   	4.93944e+00		         0.04500	1.81000e+02	
0.18508   	4.88639e+00		         0.04667	1.58000e+02	
0.19104   	4.88490e+00		         0.04833	1.33000e+02	
0.19714   	4.95027e+00		         0.05000	1.09000e+02	
0.20352   	5.03818e+00		         0.05167	8.60000e+01	
0.20962   	5.12713e+00		         0.05333	6.50000e+01	
0.21572   	5.16446e+00		         0.05500	4.50000e+01	
0.22183   	5.13502e+00		         0.05667	2.70000e+01	
0.22821   	5.02266e+00		         0.05833	1.20000e+01	
0.23431   	4.89797e+00		         0.06000	-1.00000e+00	
0.24042   	4.67772e+00		         0.06167	-1.20000e+01	
0.24652   	4.46388e+00		         0.06333	-2.10000e+01	
0.25290   	4.28765e+00		         0.06500	-2.80000e+01	
0.25900   	4.13674e+00		         0.06667	-3.40000e+01	
0.26511   	3.96439e+00		         0.06833	-3.90000e+01	
0.27121   	3.82504e+00		         0.07000	-4.40000e+01	
0.27759   	3.65335e+00		         0.07167	-4.80000e+01	
0.28369   	3.48842e+00		         0.07333	-5.10000e+01	
0.28980   	3.34895e+00		         0.07500	-5.40000e+01	
0.29590   	3.19538e+00		         0.07667	-5.70000e+01	
0.30228   	3.05021e+00		         0.07833	-6.00000e+01	
0.30838   	2.94001e+00		         0.08000	-6.20000e+01	
0.31449   	2.82465e+00		         0.08167	-6.40000e+01	
0.32059   	2.67051e+00		         0.08333	-6.60000e+01	
0.32697   	2.53440e+00		         0.08500	-6.70000e+01	
0.33307   	2.38102e+00		         0.08667	-6.80000e+01	
0.33918   	2.23103e+00		         0.08833	-6.80000e+01	
0.34528   	2.08864e+00		         0.09000	-6.80000e+01	
0.35166   	1.94724e+00		         0.09167	-6.80000e+01	
0.35776   	1.78672e+00		         0.09333	-6.80000e+01	
0.36387   	1.62842e+00		         0.09500	-6.70000e+01	
0.36997   	1.43894e+00		         0.09667	-6.50000e+01	
0.37635   	1.22147e+00		         0.09833	-6.40000e+01	
0.38245   	9.87654e-01		         0.10000	-6.30000e+01	
0.38856   	6.86487e-01		         0.10167	-6.10000e+01	
0.39466   	3.06051e-01		         0.10333	-5.90000e+01	
0.40104   	-1.99398e-01		         0.10500	-5.70000e+01	
0.40714   	-7.91273e-01		         0.10667	-5.60000e+01	
0.41325   	-1.47150e+00		         0.10833	-5.40000e+01	
0.41935   	-1.85918e+00		         0.11000	-5.20000e+01	
0.42573   	-1.27527e+00		         0.11167	-5.10000e+01	
0.43183   	-5.68498e-01		         0.11333	-4.90000e+01	
0.43794   	2.16946e-01		         0.11500	-4.80000e+01	
0.44404   	1.23802e+00		         0.11667	-4.60000e+01	
0.45065   	2.16421e+00		         0.11833	-4.50000e+01	
0.45652   	2.27154e+00		         0.12000	-4.40000e+01	
0.46263   	2.51979e+00		         0.12167	-4.30000e+01	
0.46873   	2.80877e+00		         0.12333	-4.20000e+01	
0.47511   	2.94291e+00		         0.12500	-4.10000e+01	
0.48121   	2.89545e+00		         0.12667	-4.00000e+01	
0.48732   	2.62903e+00		         0.12833	-3.80000e+01	
0.49342   	2.25708e+00		         0.13000	-3.70000e+01	
0.49980   	1.79310e+00		         0.13167	-3.60000e+01	
0.50590   	1.11355e+00		         0.13333	-3.50000e+01	
0.51201   	3.66473e-01		         0.13500	-3.40000e+01	
0.51811   	-2.84106e-01		         0.13667	-3.30000e+01	
0.52449   	-1.03423e+00		         0.13833	-3.20000e+01	
0.53059   	-1.80932e+00		         0.14000	-3.10000e+01	
0.53670   	-2.30229e+00		         0.14167	-3.00000e+01	
0.54280   	-2.65276e+00		         0.14333	-2.90000e+01	
0.54918   	-2.94611e+00		         0.14500	-2.80000e+01	
0.55528   	-3.13598e+00		         0.14667	-2.70000e+01	
0.56139   	-3.14275e+00		         0.14833	-2.60000e+01	
0.56749   	-3.12044e+00		         0.15000	-2.50000e+01	
0.57387   	-3.07254e+00		         0.15167	-2.40000e+01	
0.57997   	-2.97358e+00		         0.15333	-2.30000e+01	
0.58608   	-2.83524e+00		         0.15500	-2.30000e+01	
0.59218   	-2.72875e+00		         0.15667	-2.20000e+01	
0.59856   	-2.59163e+00		         0.15833	-2.10000e+01	
0.60467   	-2.46564e+00		         0.16000	-2.00000e+01	
0.61077   	-2.31401e+00		         0.16167	-2.00000e+01	
0.61687   	-2.15078e+00		         0.16333	-1.90000e+01	
0.62325   	-1.97721e+00		         0.16500	-1.80000e+01	
0.62935   	-1.80873e+00		         0.16667	-1.70000e+01	
0.63546   	-1.62551e+00		         0.16833	-1.60000e+01	
0.64156   	-1.46414e+00		         0.17000	-1.50000e+01	
0.64794   	-1.29955e+00		         0.17167	-1.40000e+01	
0.65404   	-1.18225e+00		         0.17333	-1.30000e+01	
0.66015   	-1.13950e+00		         0.17500	-1.20000e+01	
0.66664   	-1.08464e+00		         0.17667	-1.10000e+01	
0.67263   	-1.03831e+00		         0.17833	-1.00000e+01	
0.67873   	-1.05053e+00		         0.18000	-1.00000e+01	
0.68484   	-1.07751e+00		         0.18167	-9.00000e+00	
0.69094   	-1.07773e+00		         0.18333	-9.00000e+00	
0.69732   	-1.09086e+00		         0.18500	-9.00000e+00	
0.70342   	-1.09988e+00		         0.18667	-8.00000e+00	
0.70953   	-1.06601e+00		         0.18833	-9.00000e+00	
0.71563   	-1.00481e+00		         0.19000	-9.00000e+00	
0.72201   	-9.40458e-01		         0.19167	-9.00000e+00	
0.72811   	-8.92455e-01		         0.19333	-9.00000e+00	
0.73422   	-8.64611e-01		         0.19500	-9.00000e+00	
0.74032   	-8.56582e-01		         0.19667	-9.00000e+00	
0.74670   	-8.60186e-01		         0.19833	-9.00000e+00	
0.75281   	-8.79555e-01		         0.20000	-9.00000e+00	
0.75891   	-8.86266e-01		         0.20167	-9.00000e+00	
0.76501   	-9.07996e-01		         0.20333	-9.00000e+00	
0.77139   	-9.49152e-01		         0.20500	-8.00000e+00	
0.77749   	-1.02487e+00		         0.20667	-7.00000e+00	
0.78360   	-1.18396e+00		         0.20833	-7.00000e+00	
0.78970   	-1.49443e+00		         0.21000	-6.00000e+00	
0.79608   	-1.96303e+00		         0.21167	-5.00000e+00	
0.80218   	-2.63319e+00		         0.21333	-3.00000e+00	
0.80829   	-3.48986e+00		         0.21500	-2.00000e+00	
0.81439   	-4.48429e+00		         0.21667	-1.00000e+00	
0.82077   	-5.49401e+00		         0.21833	0.00000e+00	
0.82688   	-6.26933e+00		         0.22000	1.00000e+00	
0.83298   	-6.88037e+00		         0.22167	2.00000e+00	
0.83908   	-7.24690e+00		         0.22333	2.00000e+00	
0.84546   	-7.34674e+00		         0.22500	3.00000e+00	
0.85156   	-7.29803e+00		         0.22667	4.00000e+00	
0.85767   	-7.21690e+00		         0.22833	4.00000e+00	
0.86377   	-6.96980e+00		         0.23000	5.00000e+00	
0.87015   	-6.70269e+00		         0.23167	6.00000e+00	
0.87625   	-6.34051e+00		         0.23333	6.00000e+00	
0.88248   	-5.80579e+00		         0.23500	7.00000e+00	
0.88846   	-5.21031e+00		         0.23667	8.00000e+00	
0.89484   	-4.62239e+00		         0.23833	9.00000e+00	
0.90094   	-4.06038e+00		         0.24000	1.00000e+01	
0.90705   	-3.72049e+00		         0.24167	1.20000e+01	
0.91315   	-3.47327e+00		         0.24333	1.30000e+01	
0.91953   	-3.27416e+00		         0.24500	1.50000e+01	
0.92563   	-2.98829e+00		         0.24667	1.60000e+01	
0.93174   	-2.82743e+00		         0.24833	1.80000e+01	
0.93785   	-1.84794e+00		         0.25000	1.90000e+01	
0.94422   	-7.85347e-01		         0.25167	2.10000e+01	
0.95032   	-1.67099e-01		         0.25333	2.20000e+01	
0.95643   	-4.35742e-01		         0.25500	2.40000e+01	
0.96253   	-8.55144e-01		         0.25667	2.50000e+01	
0.96891   	-1.57208e+00		         0.25833	2.60000e+01	
0.97501   	-2.13018e+00		         0.26000	2.80000e+01	
0.98112   	-2.05515e+00		         0.26167	2.90000e+01	
0.98723   	-1.13742e+00		         0.26333	3.00000e+01	
0.99360   	3.89594e-01		         0.26500	3.20000e+01	
0.99970   	1.81470e+00		         0.26667	3.30000e+01	
1.00581   	3.06213e+00		         0.26833	3.50000e+01	
1.01192   	4.10709e+00		         0.27000	3.70000e+01	
1.01829   	5.04023e+00		         0.27167	3.80000e+01	
1.02440   	5.60126e+00		         0.27333	4.00000e+01	
1.03050   	5.83598e+00		         0.27500	4.20000e+01	
1.03660   	5.88826e+00		         0.27667	4.40000e+01	
1.04298   	5.83864e+00		         0.27833	4.60000e+01	
1.04918   	5.76361e+00		         0.28000	4.80000e+01	
1.05519   	5.63552e+00		         0.28167	5.00000e+01	
1.06129   	5.47343e+00		         0.28333	5.20000e+01	
1.06767   	5.34975e+00		         0.28500	5.30000e+01	
1.07377   	5.22672e+00		         0.28667	5.40000e+01	
1.07988   	5.07330e+00		         0.28833	5.60000e+01	
1.08599   	5.00798e+00		         0.29000	5.70000e+01	
1.09236   	4.98451e+00		         0.29167	5.80000e+01	
1.09846   	4.98772e+00		         0.29333	5.80000e+01	
1.10457   	4.98103e+00		         0.29500	5.90000e+01	
1.11067   	4.99623e+00		         0.29667	5.90000e+01	
1.11705   	4.96715e+00		         0.29833	6.00000e+01	
1.12315   	4.90102e+00		         0.30000	6.00000e+01	
1.12926   	4.81074e+00		         0.30167	6.10000e+01	
1.13536   	4.72398e+00		         0.30333	6.10000e+01	
1.14174   	4.60736e+00		         0.30500	6.20000e+01	
1.14784   	4.52755e+00		         0.30667	6.20000e+01	
1.15395   	4.46480e+00		         0.30833	6.20000e+01	
1.16006   	4.38028e+00		         0.31000	6.10000e+01	
1.16643   	4.28914e+00		         0.31167	6.10000e+01	
1.17254   	4.17959e+00		         0.31333	6.00000e+01	
1.17864   	4.04515e+00		         0.31500	5.90000e+01	
1.18474   	3.86738e+00		         0.31667	5.70000e+01	
1.19112   	3.68462e+00		         0.31833	5.60000e+01	
1.19722   	3.50490e+00		         0.32000	5.30000e+01	
1.20333   	3.35708e+00		         0.32167	5.10000e+01	
1.20944   	3.18537e+00		         0.32333	4.80000e+01	
1.21581   	3.03954e+00		         0.32500	4.40000e+01	
1.22192   	2.88412e+00		         0.32667	4.00000e+01	
1.22802   	2.72201e+00		         0.32833	3.60000e+01	
1.23412   	2.54664e+00		         0.33000	3.20000e+01	
1.24050   	2.35286e+00		         0.33167	2.70000e+01	
1.24660   	2.17658e+00		         0.33333	2.20000e+01	
1.25271   	2.01844e+00		         0.33500	1.70000e+01	
1.25882   	1.85646e+00		         0.33667	1.20000e+01	
1.26519   	1.70527e+00		         0.33833	7.00000e+00	
1.27130   	1.55590e+00		         0.34000	2.00000e+00	
1.27740   	1.35284e+00		         0.34167	-3.00000e+00	
1.28350   	1.11724e+00		         0.34333	-7.00000e+00	
1.28989   	7.88197e-01		         0.34500	-1.20000e+01	
1.29598   	3.11349e-01		         0.34667	-1.60000e+01	
1.30209   	-2.90704e-01		         0.34833	-2.00000e+01	
1.30820   	-1.01966e+00		         0.35000	-2.40000e+01	
1.31457   	-1.79199e+00		         0.35167	-2.70000e+01	
1.32068   	-2.09329e+00		         0.35333	-3.00000e+01	
1.32678   	-1.47984e+00		         0.35500	-3.40000e+01	
1.33288   	-7.92489e-01		         0.35667	-3.70000e+01	
1.33926   	8.05832e-02		         0.35833	-4.00000e+01	
1.34536   	1.22675e+00		         0.36000	-4.30000e+01	
1.35147   	2.04971e+00		         0.36167	-4.50000e+01	
1.35758   	2.22635e+00		         0.36333	-4.80000e+01	
