Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.00611   	-3.53138e+00		         0.00000	0.00000e+00	
0.01198   	-2.43863e+00		         0.00167	-2.00000e+00	
0.01787   	-1.42767e+00		         0.00333	-4.00000e+00	
0.02376   	-3.22667e-01		         0.00500	-7.00000e+00	
0.02998   	1.70391e+00		         0.00667	-1.00000e+01	
0.03585   	3.45958e+00		         0.00833	-1.40000e+01	
0.04174   	4.16618e+00		         0.01000	-1.80000e+01	
0.04763   	4.10816e+00		         0.01167	-2.20000e+01	
0.05385   	2.89127e+00		         0.01333	-2.70000e+01	
0.05972   	1.43420e+00		         0.01500	-3.10000e+01	
0.06561   	3.29921e-01		         0.01667	-3.50000e+01	
0.07150   	-3.38818e-01		         0.01833	-3.80000e+01	
0.07773   	-5.19063e-01		         0.02000	-4.10000e+01	
0.08359   	3.65700e-01		         0.02167	-4.30000e+01	
0.08948   	1.21359e+00		         0.02333	-4.40000e+01	
0.09537   	1.86047e+00		         0.02500	-4.50000e+01	
0.10159   	2.41780e+00		         0.02667	-4.50000e+01	
0.10746   	2.87113e+00		         0.02833	-4.40000e+01	
0.11335   	3.35241e+00		         0.03000	-4.20000e+01	
0.11924   	3.77994e+00		         0.03167	-4.00000e+01	
0.12547   	4.04077e+00		         0.03333	-3.80000e+01	
0.13133   	4.10020e+00		         0.03500	-3.50000e+01	
0.13722   	4.25843e+00		         0.03667	-3.20000e+01	
0.14311   	4.29311e+00		         0.03833	-2.90000e+01	
0.14932   	4.29318e+00		         0.04000	-2.50000e+01	
0.15520   	4.25368e+00		         0.04167	-2.20000e+01	
0.16109   	4.25331e+00		         0.04333	-1.90000e+01	
0.16698   	4.16673e+00		         0.04500	-1.60000e+01	
0.17320   	4.07630e+00		         0.04667	-1.30000e+01	
0.17907   	3.98211e+00		         0.04833	-1.00000e+01	
0.18496   	3.91335e+00		         0.05000	-7.00000e+00	
0.19085   	3.84981e+00		         0.05167	-4.00000e+00	
0.19708   	3.83471e+00		         0.05333	-2.00000e+00	
