Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.01172   	2.55483e-01		         0.00000	1.26000e+02	
0.01786   	3.94445e-01		         0.00167	1.36000e+02	
0.02400   	3.89715e-01		         0.00333	1.44000e+02	
0.03041   	1.46107e-01		         0.00500	1.49000e+02	
0.03655   	5.69668e-02		         0.00667	1.50000e+02	
0.04269   	1.15085e-01		         0.00833	1.48000e+02	
0.04882   	-3.47228e-01		         0.01000	1.41000e+02	
0.05523   	-6.39836e-01		         0.01167	1.29000e+02	
0.06137   	-3.39166e-01		         0.01333	1.14000e+02	
0.06751   	2.28149e-01		         0.01500	9.60000e+01	
0.07364   	1.20715e+00		         0.01667	7.40000e+01	
0.08027   	2.54230e+00		         0.01833	5.00000e+01	
0.08619   	3.86896e+00		         0.02000	2.30000e+01	
0.09233   	4.71281e+00		         0.02167	-4.00000e+00	
0.09846   	5.25036e+00		         0.02333	-3.20000e+01	
0.10487   	5.52174e+00		         0.02500	-5.90000e+01	
0.11101   	5.60015e+00		         0.02667	-8.40000e+01	
0.11715   	5.61048e+00		         0.02833	-1.07000e+02	
0.12329   	5.60465e+00		         0.03000	-1.26000e+02	
0.12986   	5.63186e+00		         0.03167	-1.42000e+02	
0.13583   	5.60498e+00		         0.03333	-1.55000e+02	
0.14197   	5.54932e+00		         0.03500	-1.63000e+02	
0.14811   	5.44321e+00		         0.03667	-1.68000e+02	
0.15452   	5.30748e+00		         0.03833	-1.68000e+02	
0.16065   	5.19657e+00		         0.04000	-1.66000e+02	
0.16679   	5.03035e+00		         0.04167	-1.60000e+02	
0.17293   	4.87608e+00		         0.04333	-1.51000e+02	
0.17965   	4.82160e+00		         0.04500	-1.40000e+02	
0.18548   	4.79872e+00		         0.04667	-1.28000e+02	
0.19162   	4.66328e+00		         0.04833	-1.15000e+02	
0.19775   	4.64110e+00		         0.05000	-1.01000e+02	
0.20416   	4.60981e+00		         0.05167	-8.70000e+01	
0.21030   	4.51532e+00		         0.05333	-7.40000e+01	
0.21643   	4.40259e+00		         0.05500	-6.20000e+01	
0.22257   	4.33518e+00		         0.05667	-5.00000e+01	
0.22898   	4.24264e+00		         0.05833	-4.00000e+01	
0.23512   	4.14782e+00		         0.06000	-3.20000e+01	
0.24126   	4.02056e+00		         0.06167	-2.40000e+01	
0.24740   	3.92982e+00		         0.06333	-1.80000e+01	
0.25381   	3.79955e+00		         0.06500	-1.30000e+01	
0.25994   	3.68666e+00		         0.06667	-1.00000e+01	
0.26608   	3.55693e+00		         0.06833	-7.00000e+00	
0.27222   	3.50123e+00		         0.07000	-4.00000e+00	
0.27863   	3.33704e+00		         0.07167	-3.00000e+00	
0.28477   	3.26404e+00		         0.07333	-2.00000e+00	
0.29090   	3.14020e+00		         0.07500	-1.00000e+00	
0.29704   	3.02257e+00		         0.07667	-1.00000e+00	
