Velocity (TVI), in cm/s

Time (s) :	Trace 1 : 		Ecg : 		
0.00577   	-7.30397e+00		         0.00000	2.58000e+02	
0.01218   	-6.37343e+00		         0.00167	2.88000e+02	
0.01853   	-9.05802e+00		         0.00333	3.16000e+02	
0.02491   	4.35732e-01		         0.00500	3.41000e+02	
0.03129   	1.92628e+00		         0.00667	3.60000e+02	
0.03768   	3.42336e+00		         0.00833	3.72000e+02	
0.04405   	4.30998e+00		         0.01000	3.77000e+02	
0.05042   	2.55689e+00		         0.01167	3.73000e+02	
0.05680   	2.30133e+00		         0.01333	3.62000e+02	
0.06320   	1.99564e+00		         0.01500	3.43000e+02	
0.06956   	1.86035e+00		         0.01667	3.18000e+02	
0.07594   	2.27921e+00		         0.01833	2.86000e+02	
0.08232   	2.35497e+00		         0.02000	2.51000e+02	
0.08871   	2.37072e+00		         0.02167	2.12000e+02	
0.09508   	2.90730e+00		         0.02333	1.71000e+02	
0.10146   	3.52222e+00		         0.02500	1.31000e+02	
0.10783   	3.91818e+00		         0.02667	9.20000e+01	
0.11422   	4.01132e+00		         0.02833	5.50000e+01	
0.12059   	4.15403e+00		         0.03000	2.20000e+01	
0.12697   	4.28698e+00		         0.03167	-7.00000e+00	
0.13335   	4.32000e+00		         0.03333	-3.10000e+01	
0.13975   	4.17495e+00		         0.03500	-5.10000e+01	
0.14611   	4.11191e+00		         0.03667	-6.70000e+01	
0.15248   	4.08162e+00		         0.03833	-8.00000e+01	
0.15886   	4.04419e+00		         0.04000	-9.00000e+01	
0.16525   	4.00614e+00		         0.04167	-9.70000e+01	
0.17162   	3.93596e+00		         0.04333	-1.02000e+02	
0.17800   	3.88092e+00		         0.04500	-1.05000e+02	
0.18438   	3.78577e+00		         0.04667	-1.07000e+02	
0.19078   	3.57027e+00		         0.04833	-1.08000e+02	
0.19714   	3.57328e+00		         0.05000	-1.08000e+02	
0.20351   	3.47256e+00		         0.05167	-1.07000e+02	
0.20990   	3.23753e+00		         0.05333	-1.06000e+02	
0.21629   	3.09953e+00		         0.05500	-1.05000e+02	
0.22265   	3.13124e+00		         0.05667	-1.03000e+02	
0.22903   	2.99685e+00		         0.05833	-1.01000e+02	
0.23541   	3.03360e+00		         0.06000	-9.90000e+01	
0.24180   	3.24000e+00		         0.06167	-9.60000e+01	
0.24817   	3.32617e+00		         0.06333	-9.40000e+01	
0.25455   	3.16896e+00		         0.06500	-9.20000e+01	
0.26093   	3.08039e+00		         0.06667	-9.00000e+01	
0.26733   	2.83681e+00		         0.06833	-8.80000e+01	
0.27368   	2.59862e+00		         0.07000	-8.60000e+01	
0.28006   	2.49334e+00		         0.07167	-8.40000e+01	
0.28644   	2.41912e+00		         0.07333	-8.20000e+01	
0.29284   	2.31365e+00		         0.07500	-8.00000e+01	
0.29920   	2.24262e+00		         0.07667	-7.80000e+01	
0.30557   	2.18454e+00		         0.07833	-7.60000e+01	
0.31196   	2.13905e+00		         0.08000	-7.50000e+01	
0.31836   	2.04389e+00		         0.08167	-7.30000e+01	
0.32471   	2.03620e+00		         0.08333	-7.10000e+01	
0.33109   	2.04784e+00		         0.08500	-6.90000e+01	
0.33747   	2.01755e+00		         0.08667	-6.70000e+01	
0.34387   	1.79990e+00		         0.08833	-6.50000e+01	
0.35023   	1.64962e+00		         0.09000	-6.30000e+01	
0.35661   	1.34465e+00		         0.09167	-6.20000e+01	
0.36299   	9.51354e-01		         0.09333	-6.00000e+01	
0.36938   	3.76824e-01		         0.09500	-5.80000e+01	
0.37574   	-8.29892e-02		         0.09667	-5.60000e+01	
0.38212   	-6.08117e-01		         0.09833	-5.50000e+01	
0.38850   	-1.04272e+00		         0.10000	-5.30000e+01	
0.39491   	-1.30823e+00		         0.10167	-5.20000e+01	
0.40126   	-1.40805e+00		         0.10333	-5.00000e+01	
0.40764   	-1.34997e+00		         0.10500	-4.90000e+01	
0.41402   	-1.32495e+00		         0.10667	-4.80000e+01	
0.42041   	-1.24320e+00		         0.10833	-4.70000e+01	
0.42678   	-1.27414e+00		         0.11000	-4.60000e+01	
0.43315   	-1.04351e+00		         0.11167	-4.50000e+01	
0.43953   	-9.14370e-01		         0.11333	-4.30000e+01	
0.44593   	-8.32052e-01		         0.11500	-4.20000e+01	
0.45229   	-7.68527e-01		         0.11667	-4.10000e+01	
0.45868   	-5.36154e-01		         0.11833	-4.00000e+01	
0.46505   	-7.55484e-01		         0.12000	-3.80000e+01	
0.47144   	-1.08929e+00		         0.12167	-3.60000e+01	
0.47780   	-1.37505e+00		         0.12333	-3.50000e+01	
0.48418   	-1.71887e+00		         0.12500	-3.30000e+01	
0.49056   	-2.27487e+00		         0.12667	-3.20000e+01	
0.49697   	-2.64869e+00		         0.12833	-3.00000e+01	
0.50332   	-3.09321e+00		         0.13000	-2.90000e+01	
0.50970   	-3.54320e+00		         0.13167	-2.70000e+01	
0.51608   	-3.91117e+00		         0.13333	-2.60000e+01	
0.52248   	-4.11046e+00		         0.13500	-2.40000e+01	
0.52884   	-4.18882e+00		         0.13667	-2.30000e+01	
0.53521   	-4.19516e+00		         0.13833	-2.20000e+01	
0.54160   	-4.16573e+00		         0.14000	-2.10000e+01	
0.54800   	-3.99445e+00		         0.14167	-2.00000e+01	
0.55443   	-3.73961e+00		         0.14333	-1.80000e+01	
0.56073   	-3.60040e+00		         0.14500	-1.70000e+01	
0.56711   	-3.30644e+00		         0.14667	-1.60000e+01	
0.57352   	-2.82191e+00		         0.14833	-1.50000e+01	
0.57987   	-2.47158e+00		         0.15000	-1.30000e+01	
0.58624   	-2.29281e+00		         0.15167	-1.20000e+01	
0.59263   	-2.08257e+00		         0.15333	-1.10000e+01	
0.59903   	-1.93481e+00		         0.15500	-1.00000e+01	
0.60538   	-1.84910e+00		         0.15667	-9.00000e+00	
0.61176   	-1.82611e+00		         0.15833	-8.00000e+00	
0.61814   	-1.70853e+00		         0.16000	-7.00000e+00	
0.62454   	-1.56456e+00		         0.16167	-6.00000e+00	
